ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Npas2_CT0/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT4/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT8/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT12/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT16/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT20/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_Input/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
11	chr11	68908221	68908471	68908445	28	Intergenic	Intergenic	-5314	uc007jph.2	Per1	period circadian protein homolog 1	39.41	15.38	25.95	24.03	19.22	12.5	1.92	Npas2-11	0	default	1	24	1.8627206272	2.8397559681	22.7483333333	0.0255951941	-0.1909392073	0.3854378968	0.8898716642	0.0599495479	0.8977664517
12	chr15	101934551	101934920	101934750	28	intron (uc007xuo.1, intron 1 of 28)	intron (NM_153533, intron 1 of 28)	1316	uc007xuo.1	Tenc1	tensin-like C1 domain-containing phosphatase	15.38	21.15	39.41	19.22	10.57	2.88	3.84	Npas2-12	0	mle	1	24.0481927711	13.7951103876	7.8208230083	18.1016666667	0.798050056	0.7531722906	0.6219174922	0.0007474752	0.000406366	0.0060854795
13	chr19	3833121	3833360	3833240	28	Intergenic	Intergenic	-18533	uc008fxg.1	Chka	choline kinase alpha isoform 1	27.87	10.57	30.76	21.15	16.34	5.77	0.96	Npas2-13	0	mle	1	25.106918239	5.7534753057	7.7667780851	18.7433333333	0.2182904482	0.0445772145	0.474393253	0.3301447413	0.0249291358	0.3733229455
14	chr4	130597061	130597431	130597205	27	Intergenic	Intergenic	-30857	uc008uzy.1	AK020914	Mus musculus adult retina cDNA, RIKEN full-length enriched library, clone:A930031H19 product:unclassifiable, full insert sequence.	7.69	15.38	37.49	14.42	5.77	1.92	1.92	Npas2-14	0	burg	1	22.8114285714	13.9062114312	8.5947675341	13.7783333333	0.7559744666	0.7017465703	0.8417354479	0.0017516959	0.0006887044	0.0103136012
15	chr17	5893071	5893630	5893265	27	intron (uc008afj.1, intron 4 of 17)	intron (NM_025664, intron 4 of 17)	-47930	uc008afk.2	Synj2	synaptojanin-2 isoform a	17.3	13.46	36.53	20.19	14.42	7.69	6.73	Npas2-15	1	burg	1	23.3450292398	9.5833607983	9.0835705466	18.265	0.5944216623	0.5042931428	0.4937331054	0.0172320275	0.0027032664	0.0404824049
16	chr6	55125871	55126201	55126075	26	Intergenic	Intergenic	-1052	uc009can.1	Inmt	indolethylamine N-methyltransferase	25.95	14.42	26.91	19.22	10.57	2.88	1.92	Npas2-16	0	burg	1	27.156462585	6.9870814872	4.7995816148	16.6583333333	0.3983387966	0.2646363069	0.5081404453	0.1016445356	0.0095161324	0.1425075705
17	chr5	149806561	149807031	149806870	25	promoter-TSS (uc009aoz.1)	Intergenic	-5	uc009aoz.1	AK036974	Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930430L01 product:unclassifiable, full insert sequence.	20.19	9.61	29.8	24.03	14.42	6.73	0.96	Npas2-17	0	burg	1	22.5536723164	7.6045704642	10.5755323614	17.4633333333	0.4875616843	0.373686503	0.4610104873	0.0493613669	0.0056477783	0.0845775499
18	chr7	56607041	56607720	56607530	25	intron (uc009hbm.2, intron 1 of 37)	intron (NM_175272, intron 1 of 37)	105821	uc009hbm.2	Nav2	neuron navigator 2 isoform 1	17.3	25.95	60.56	14.42	15.38	6.73	4.81	Npas2-18	0	burg	1	22.9425287356	18.5142371343	8.0157774347	23.39	0.5794925686	0.4860464727	0.7502013127	0.0202759653	0.0030300347	0.0453758806
19	chr19	10223821	10224131	10223930	25	Intergenic	L1M5|LINE|L1	-33402	uc008gpe.2	Fads1	fatty acid desaturase 1	2.88	6.73	31.72	21.15	4.81	2.88	6.73	Npas2-19	1	burg	1	23.0751445087	13.5532759527	9.8237803444	11.695	0.7990588982	0.75440532	0.9352854805	0.0007308185	0.0004000696	0.0059911888
20	chr3	41368381	41368730	41368510	24	intron (uc008pcj.2, intron 1 of 10)	promoter-TSS (NM_001130186)	8899	uc008pcj.2	Phf17	protein Jade-1	17.3	15.38	33.64	22.11	3.84	0.96	0.96	Npas2-20	0	burg	1	23.9041916168	12.7195620207	7.9351745736	15.5383333333	0.7300846999	0.6701035221	0.7066405113	0.0027575523	0.000892716	0.0133687496
21	chr4	41315291	41315670	41315480	24	intron (uc008sin.1, intron 2 of 6)	intron (NM_023305, intron 2 of 6)	19451	uc008sin.1	Ubap1	ubiquitin-associated protein 1	2.88	5.77	29.8	13.46	7.69	1.92	3.84	Npas2-21	1	burg	1	23.0751445087	11.090223402	9.7287974693	10.2533333333	0.7071219812	0.642037977	0.9276705136	0.0039819014	0.0011170503	0.016728237
22	chr5	124686141	124686451	124686285	24	Intergenic	Intergenic	-19870	uc008zpc.2	Pitpnm2	membrane-associated phosphatidylinositol	12.5	22.11	27.87	19.22	4.81	0.96	8.65	Npas2-22	0	mle	1	23.0751445087	12.134652354	7.9781242276	14.5783333333	0.9063064053	0.8854856065	0.6508321206	2.35881866957E-005	9.29721966816E-005	0.0013922927
23	chr7	52960041	52960561	52960385	24	promoter-TSS (uc009gws.2)	promoter-TSS (NM_016974)	-316	uc009gws.2	Dbp	D site-binding protein	43.25	30.76	41.33	46.14	22.11	21.15	1.92	Npas2-23	0	mle	1	25.106918239	7.880024187	7.1462435657	34.1233333333	0.3347129952	0.1868714386	0.293925621	0.1597867199	0.0135970136	0.2036202614
24	chr11	31724541	31724871	31724760	24	promoter-TSS (uc011xsw.1)	Intergenic	-159	uc011xsw.1	AK158188	Mus musculus 0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630024D03 product:unclassifiable, full insert sequence.	21.15	22.11	32.68	17.3	12.5	1.92	2.88	Npas2-24	0	default	1	24	10.4626003075	7.1961940836	17.9433333333	0.7097125324	0.6452042063	0.5245844637	0.0038258443	0.0010887698	0.0163047263
25	chr3	95686061	95686521	95686265	22	promoter-TSS (uc008qlm.1)	promoter-TSS (NM_001033302)	-140	uc008qlm.1	Gm129	hypothetical protein LOC229599	28.84	16.34	39.41	32.68	16.34	6.73	0.96	Npas2-25	1	default	1	24	11.0076582263	8.8854998512	23.39	0.5181725649	0.4110998016	0.4778715147	0.0374120807	0.0046152957	0.0691157453
26	chr5	93014891	93015350	93015095	22	intron (uc008ydn.2, intron 5 of 6)	intron (NM_001170572, intron 5 of 5)	14557	uc008ydn.2	Fam47e	hypothetical protein LOC384198 isoform 1	29.8	28.84	36.53	22.11	17.3	4.81	3.84	Npas2-26	0	burg	1	25.4267515924	10.7093082047	5.8454390808	23.2316666667	0.6633131916	0.5884939008	0.4401105803	0.0074561984	0.0015781348	0.0236331468
27	chr1	152969101	152969520	152969195	21	Intergenic	MTD|LTR|MaLR	-128745	uc007cyj.1	Hmcn1	hemicentin 1	18.26	9.61	15.38	12.5	22.11	7.69	0.96	Npas2-27	1	mle	1	20.7916666667	3.1051308176	16.4268291666	14.2583333333	0.1824973816	0.0008301331	0.3468664132	0.4038324237	0.0297324365	0.4452541332
28	chr2	71711951	71712240	71712130	21	intron (uc008kbj.2, intron 1 of 10)	intron (NM_172665, intron 1 of 10)	766	uc008kbj.2	Pdk1	pyruvate dehydrogenase kinase, isozyme 1	6.73	16.34	24.03	11.53	1.92	0.96	4.81	Npas2-28	0	burg	1	22.8114285714	10.4456834601	7.9418751873	10.2516666667	0.8836470837	0.8577908801	0.7931586387	6.25169422755E-005	0.000129116	0.0019335601
29	chr4	15853661	15854010	15853875	21	intron (uc008sbm.1, intron 5 of 9)	intron (NM_026172, intron 5 of 9)	18819	uc008sbm.1	Decr1	2,4-dienoyl-CoA reductase, mitochondrial	13.46	10.57	24.99	11.53	4.81	6.73	2.88	Npas2-29	0	burg	1	23.3450292398	6.4837546798	7.4953610209	12.015	0.5300139703	0.4255726304	0.5400347417	0.0334489331	0.0042747274	0.0640156098
30	chr5	136150701	136151040	136150850	21	Intergenic	Intergenic	-14214	uc008zyt.1	Por	NADPH--cytochrome P450 reductase	14.42	14.42	24.99	14.42	11.53	4.81	0.96	Npas2-30	1	default	1	24	6.7378013581	7.9890936357	14.0983333333	0.6949508375	0.6271621347	0.4214325446	0.0047826023	0.0012525247	0.0187570166
31	chr7	127315851	127316130	127315975	21	Intergenic	Intergenic	-1382	uc009jmj.2	Anks4b	ankyrin repeat and SAM domain-containing protein	5.77	4.81	23.07	11.53	0.96	0.96	5.77	Npas2-31	1	burg	1	23.0751445087	8.649217415	8.9524571331	7.85	0.6670427488	0.5930522485	0.9780793498	0.007091664	0.0015218015	0.0227895348
32	chr9	25268501	25268910	25268700	21	Intergenic	Intergenic	-20477	uc009opn.1	Eepd1	endonuclease/exonuclease/phosphatase family	7.69	12.5	30.76	8.65	7.69	0.96	3.84	Npas2-32	0	burg	1	22.9425287356	10.3241132008	8.4035655168	11.375	0.6469215897	0.5684597207	0.8184958071	0.0092346456	0.0018104564	0.0271122484
33	chr9	42265571	42266000	42265825	21	intron (uc009pay.1, intron 1 of 7)	intron (NM_173038, intron 1 of 7)	14524	uc009pay.1	Tbcel	tubulin-specific chaperone cofactor E-like	4.81	7.69	28.84	6.73	7.69	1.92	0.96	Npas2-33	1	burg	1	23.0751445087	9.0185082463	8.8236599583	9.6133333333	0.5406723586	0.4385995493	0.9183419088	0.030168354	0.0039735254	0.059504999
34	chr11	117739191	117739600	117739300	21	Intergenic	Intergenic	-4555	uc007moh.2	Tha1	threonine aldolase 1	3.84	10.57	33.64	13.46	3.84	1.92	2.88	Npas2-34	0	burg	1	22.6818181818	12.8784836607	9.0135672639	11.2116666667	0.7396979854	0.6818530932	0.9658080976	0.0023423343	0.0007993287	0.011970241
35	chr14	69881041	69881340	69881155	21	intron (uc007ume.1, intron 1 of 3)	intron (NM_026331, intron 1 of 3)	21970	uc007ume.1	Slc25a37	mitoferrin-1	18.26	14.42	27.87	24.03	16.34	8.65	0.96	Npas2-35	0	mle	1	24.0481927711	7.2838542763	9.4672372657	18.2616666667	0.6934391201	0.6253144801	0.3437434352	0.0048901852	0.0012722463	0.019052355
36	chr7	87591201	87591660	87591375	20	Intergenic	Intergenic	-43782	uc009iau.1	Furin	furin preproprotein	13.46	11.53	25.95	15.38	4.81	0.96	3.84	Npas2-36	1	default	1	24	9.1216466941	7.8926107551	12.015	0.7100067125	0.6455637597	0.6640597015	0.003808428	0.0010857733	0.0162598528
37	chr11	118126951	118127360	118127160	20	intron (uc011yim.1, intron 15 of 20)	intron (NM_001033528, intron 15 of 20)	24403	uc011yim.1	Usp36	ubiquitin specific peptidase 36	9.61	12.5	29.8	23.07	4.81	2.88	0.96	Npas2-37	0	burg	1	23.2093023256	12.14651008	9.1644830937	13.7783333333	0.8321180704	0.7948109749	0.7019449173	0.0003254751	0.0002744067	0.0041093409
38	chr15	10329381	10329830	10329725	20	intron (uc007vfz.1, intron 12 of 13)	intron (NM_001031851, intron 12 of 13)	41271	uc007vfz.1	Agxt2	alanine--glyoxylate aminotransferase 2,	2.88	6.73	24.03	15.38	4.81	1.92	2.88	Npas2-38	1	burg	1	23.0751445087	10.0113247434	9.6871982927	9.2916666667	0.8323334546	0.7950742223	0.8524064443	0.0003236003	0.0002744067	0.0041093409
39	chr16	4896611	4896991	4896825	20	intron (uc007yap.1, intron 1 of 16)	intron (NM_029657, intron 1 of 16)	10549	uc007yap.1	Mgrn1	E3 ubiquitin-protein ligase MGRN1	14.42	17.3	26.91	13.46	4.81	3.84	7.69	Npas2-39	0	burg	1	23.7619047619	9.2790382305	7.0316037178	13.4566666667	0.7910619561	0.7446312797	0.578761598	0.0008711218	0.0004338476	0.0064970274
40	chr19	42119781	42120120	42119895	20	promoter-TSS (uc008hnb.1)	promoter-TSS (NM_026152)	-391	uc008hnb.1	Hoga1	probable 4-hydroxy-2-oxoglutarate aldolase,	22.11	10.57	19.22	14.42	12.5	4.81	0.96	Npas2-40	0	default	1	24	2.6765168269	7.0967261653	13.9383333333	0.1294038033	-0.0640620182	0.4054734006	0.5360131509	0.038032066	0.5695441266
41	chr1	90175711	90176081	90175855	19	Intergenic	Intergenic	-1742	uc007bym.2	Hjurp	Holliday junction recognition protein	14.42	13.46	27.87	12.5	15.38	6.73	18.26	Npas2-41	1	default	1	24	6.0984286605	8.3651602493	15.06	0.4747068823	0.3579750783	0.4226699286	0.0551833039	0.0060417637	0.0904776253
42	chr2	160176741	160177110	160176855	19	Intergenic	Intergenic	15876	uc008nqw.2	Mafb	transcription factor MafB	4.81	5.77	31.72	9.61	8.65	2.88	0.96	Npas2-42	1	burg	1	23.2093023256	9.9795053788	9.3026440053	10.5733333333	0.5444485323	0.4432148728	0.9196292355	0.0290682258	0.0038804952	0.0581118385
43	chr4	151586441	151586760	151586555	19	intron (uc008vzy.2, intron 2 of 8)	MLT1A1|LTR|MaLR	26357	uc008vzy.2	Acot7	cytosolic acyl coenzyme A thioester hydrolase	3.84	4.81	19.22	3.84	2.88	0	0.96	Npas2-43	0	burg	1	22.8114285714	6.4150060525	8.521221772	5.765	0.5590925	0.4611130555	1.0761050318	0.0250936415	0.0035135313	0.0526164188
44	chr8	79568721	79569160	79568925	19	intron (uc009mhl.1, intron 2 of 8)	intron (NM_001083906, intron 2 of 8)	142533	uc009mhl.1	Nr3c2	mineralocorticoid receptor	24.03	23.07	24.03	17.3	10.57	3.84	0	Npas2-44	1	burg	1	26.4370860927	7.7644599459	4.3818777794	17.14	0.6813731599	0.6105671954	0.4457231379	0.0058179583	0.0013897772	0.0208124236
45	chr14	27914971	27915290	27915150	19	3' UTR (uc007stl.1, exon 13 of 13)	3' UTR (NM_134437, exon 13 of 13)	62943	uc007stl.1	Il17rd	interleukin-17 receptor D precursor	22.11	17.3	15.38	8.65	7.69	5.77	4.81	Npas2-45	0	default	1	24	5.5213474603	3.2258345642	12.8166666667	0.5778844145	0.484080951	0.457548504	0.0206272458	0.0030737894	0.0460311223
46	chr14	70027011	70027360	70027150	19	intron (uc007umo.2, intron 1 of 13)	intron (NM_033325, intron 1 of 13)	12898	uc007uml.1	AK086749	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930513O14 product:mitochondrial solute carrier protein, full insert sequence.	18.26	19.22	24.03	8.65	9.61	1.92	7.69	Npas2-46	1	burg	1	25.2658227848	7.5789271758	5.0997849283	13.615	0.6256298868	0.5424365283	0.5520276178	0.0120186384	0.0021391671	0.0320348117
47	chr15	58830841	58831111	58830995	19	intron (uc007vty.2, intron 3 of 14)	intron (NM_144800, intron 3 of 14)	65611	uc007vtw.1	Ndufb9	NADH dehydrogenase [ubiquinone] 1 beta	3.84	11.53	23.07	9.61	4.81	4.81	2.88	Npas2-47	0	burg	1	22.4269662921	7.9568950121	8.7023399772	9.6116666667	0.7426169595	0.6854207282	0.6904265158	0.0022264332	0.0007748721	0.011603993
48	chr17	74605891	74606180	74606010	19	intron (uc012axb.1, intron 7 of 8)	intron (NM_133771, intron 7 of 8)	88168	uc012axb.1	Memo1	protein MEMO1	7.69	5.77	20.19	7.69	6.73	4.81	1.92	Npas2-48	1	burg	1	23.0751445087	4.8071580429	8.8868040926	8.8133333333	0.4462128286	0.3231490128	0.5888158658	0.0699911307	0.0072028235	0.1078649214
49	chr19	44846021	44846290	44846160	19	intron (uc008hpz.1, intron 3 of 10)	intron (NM_011037, intron 3 of 9)	14271	uc008hpz.1	Pax2	paired box protein Pax-2	5.77	10.57	22.11	15.38	8.65	3.84	0.96	Npas2-49	0	mle	1	24.0481927711	8.2483567196	9.148570829	11.0533333333	0.904282978	0.8830125287	0.5563813945	2.59687652824E-005	9.30501658834E-005	0.0013934603
50	chr1	74443701	74444100	74443830	18	TTS (uc007blz.2)	TTS (NM_153088)	3016	uc007bma.2	Mir26b	Mus musculus microRNA 26b (Mir26b), microRNA.	21.15	7.69	6.73	8.65	4.81	0.96	0.96	Npas2-50	0	default	1	24	3.1654444345	1.475935415	8.3316666667	0.1552713433	-0.0324461359	0.7497605444	0.4679802485	0.0336746952	0.5042909022
51	chr1	176837741	176838021	176837935	18	intron (uc007dtf.1, intron 1 of 1)	intron (NM_011825, intron 1 of 1)	14069	uc007dtf.1	Grem2	gremlin-2 precursor	8.65	12.5	20.19	14.42	5.77	1.92	2.88	Npas2-51	1	default	1	24	7.7692281148	8.2188450072	10.575	0.9044356978	0.8831991862	0.5629463948	2.57828320084E-005	9.30501658834E-005	0.0013934603
52	chr2	13406231	13406550	13406345	18	intron (uc008ijz.1, intron 6 of 66)	intron (NM_001081084, intron 6 of 66)	7113	uc008ijz.1	Cubn	cubilin precursor	10.57	14.42	19.22	9.61	9.61	4.81	4.81	Npas2-52	0	mle	1	24.1939393939	5.1794684152	7.1412338795	11.3733333333	0.7238303318	0.6624592944	0.3945107203	0.0030569751	0.0009427574	0.014118138
53	chr2	77010261	77010531	77010400	18	Intergenic	Intergenic	-1704	uc012bxr.1	Ccdc141	coiled-coil domain containing 141	4.81	9.61	22.11	5.77	6.73	0	3.84	Npas2-53	0	mle	1	24.0481927711	7.6695165065	7.9977125649	8.1716666667	0.6435468318	0.5643350166	0.8393547302	0.0096385378	0.0018531724	0.0277519364
54	chr2	92261891	92262231	92262065	18	intron (uc008kxy.2, intron 5 of 11)	MIRb|SINE|MIR	12165	uc008kxy.2	Cry2	cryptochrome-2	10.57	13.46	24.99	13.46	7.69	1.92	2.88	Npas2-54	0	mle	1	24.0481927711	8.6335782782	7.9937944714	12.015	0.8061049428	0.7630171524	0.583821877	0.0006223724	0.0003817998	0.0057175923
55	chr4	124370921	124371161	124371030	18	promoter-TSS (uc008uqu.1)	promoter-TSS (NM_026031)	-243	uc008uqu.1	Utp11l	probable U3 small nucleolar RNA-associated	10.57	11.53	21.15	9.61	8.65	4.81	0.96	Npas2-55	0	mle	1	24.1939393939	5.450333704	7.5406800844	11.0533333333	0.6305679004	0.5484718783	0.4512077399	0.0113215484	0.0020635179	0.0309019372
56	chr6	142400171	142400470	142400230	18	intron (uc009epi.2, intron 7 of 16)	intron (NM_145572, intron 7 of 16)	21309	uc009epi.2	Gys2	glycogen [starch] synthase, liver	8.65	22.11	15.38	11.53	0.96	1.92	3.84	Npas2-56	0	burg	1	23.0751445087	8.8754631126	6.6728726701	10.0916666667	0.7937421281	0.7479070455	0.7312193328	0.0008219538	0.0004180269	0.006260106
57	chr7	25337301	25337720	25337565	18	intron (uc012ffm.1, intron 2 of 16)	LTR84a|LTR|ERVL	5498	uc012ffm.1	Xrcc1	DNA repair protein XRCC1	7.69	6.73	22.11	5.77	6.73	7.69	2.88	Npas2-57	1	burg	1	22.0552486188	4.5480894712	8.5469684822	9.4533333333	0.3224986114	0.1719427473	0.6027607324	0.1734186709	0.0145353531	0.2176722393
58	chr7	152113971	152114250	152114100	18	Intergenic	Intergenic	11720	uc009kqt.1	Ccnd1	G1/S-specific cyclin-D1	10.57	8.65	19.22	8.65	8.65	1.92	2.88	Npas2-58	0	mle	1	24.0481927711	5.0755940744	8.0463651454	9.61	0.5321353424	0.4281654185	0.5291896047	0.0327748777	0.0042158909	0.063134511
59	chr11	90231021	90231320	90231170	18	intron (uc007kws.1, intron 2 of 3)	intron (NM_172563, intron 2 of 3)	21061	uc007kws.1	Hlf	hepatic leukemia factor	15.38	11.53	20.19	12.5	0.96	2.88	1.92	Npas2-59	1	default	1	24	6.8700928586	6.4883343553	10.5733333333	0.60122817	0.5126122078	0.6365745433	0.0159683529	0.0025826067	0.0386754811
60	chr11	98644621	98645190	98644815	18	Intergenic	Intergenic	-8349	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	22.11	13.46	34.6	25.95	13.46	6.73	3.84	Npas2-60	1	default	1	24	9.5750366898	8.8629005885	19.385	0.5650143666	0.4683508926	0.4767110582	0.0236122357	0.0033719922	0.0504968193
61	chr15	34202761	34202970	34202865	18	intron (uc007vlj.1, intron 3 of 6)	intron (NM_033521, intron 3 of 6)	-33571	uc007vlo.1	Matn2	matrilin-2	17.3	13.46	13.46	5.77	4.81	4.81	0	Npas2-61	1	mle	1	27.156462585	4.8709561413	0.869326061	9.935	0.6687402765	0.5951270047	0.5015453546	0.0069304089	0.0015073359	0.0225729077
62	chr16	20674051	20674310	20674150	18	intron (uc007yqv.1, intron 2 of 32)	intron (NM_145941, intron 2 of 32)	1358	uc007yqv.1	Eif4g1	eukaryotic translation initiation factor 4 gamma	10.57	4.81	20.19	16.34	3.84	3.84	2.88	Npas2-62	0	burg	1	23.4823529412	6.5281752339	9.4035322196	9.9316666667	0.5413507433	0.4394286862	0.646230894	0.0299683701	0.0039571027	0.0592590635
63	chr16	23337481	23337790	23337600	18	intron (uc007yto.1, intron 5 of 7)	intron (NM_145933, intron 5 of 7)	-91571	uc007ytq.1	Rtp1	receptor-transporting protein 1	21.15	8.65	15.38	15.38	9.61	2.88	1.92	Npas2-63	0	default	1	24	2.446943543	7.5038304732	12.175	0.1002770939	-0.0996613297	0.4818499353	0.621569217	0.0432653099	0.6479138725
64	chr16	87610341	87610810	87610610	18	Intergenic	MER57C2|LTR|ERV1	57000	uc012ahq.1	ORF63	TAK1-like protein	12.5	13.46	28.84	19.22	6.73	0.96	2.88	Npas2-64	1	default	1	24	10.9740699973	8.3684982051	13.6183333333	0.8114152431	0.7695075194	0.6513104012	0.0005492621	0.000357835	0.0053587101
65	chr1	37398741	37399120	37398935	17	intron (uc007arl.2, intron 1 of 25)	intron (NM_030266, intron 1 of 25)	-7913	uc007arm.1	AK019601	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930439A04 product:unclassifiable, full insert sequence.	12.5	16.34	23.07	12.5	7.69	1.92	3.84	Npas2-65	0	mle	1	23.4823529412	7.949759112	7.5991867944	12.3366666667	0.8148618342	0.7737200196	0.5350140143	0.0005055124	0.0003432187	0.0051398256
66	chr1	193269261	193269761	193269485	17	Intergenic	ORR1D2|LTR|MaLR	-48591	uc007eci.1	Ppp2r5a	serine/threonine-protein phosphatase 2A 56 kDa	10.57	15.38	30.76	14.42	13.46	2.88	7.69	Npas2-66	1	default	1	24	9.9159128602	8.4985441961	14.5783333333	0.7303858127	0.6704715488	0.5716354063	0.0027437361	0.0008915292	0.0133509772
67	chr2	4917381	4917790	4917495	17	intron (uc008ifi.2, intron 14 of 19)	RCHARR1|DNA|MER1_type	16252	uc008ifi.2	Mcm10	protein MCM10 homolog	23.07	10.57	24.99	15.38	6.73	2.88	5.77	Npas2-67	0	burg	1	26.6133333333	6.2918159955	4.8902589971	13.9366666667	0.3526833695	0.2088352294	0.5808591759	0.1412620296	0.0123660289	0.1851858144
