ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Per1_CT0/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT4/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT8/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT12/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT16/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT20/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_KO/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per_Input/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
15	chr3	95685931	95686501	95686260	51	promoter-TSS (uc008qlm.1)	promoter-TSS (NM_001033302)	-65	uc008qlm.1	Gm129	hypothetical protein LOC229599	6.05	6.05	11.08	90.69	41.31	45.35	7.05	8.06	15-Per1_n3R16	1	yule-walker	1	22.9425287356	30.5842490005	14.4862973582	33.4216666667	0.5476289256	0.4471020202	0.9043893917	0.0281661004	0.0112664402	0.1052665584
16	chr1	75314081	75314561	75314370	38	promoter-TSS (uc011wnp.1)	promoter-TSS (NM_016878)	-109	uc011wnp.1	Dnpep	aspartyl aminopeptidase isoform a	21.16	7.05	2.02	47.36	55.42	64.49	2.02	5.04	16-Per1_n3R16	1	burg	1	24.0481927711	27.2734471862	17.4981769364	32.9166666667	0.772318349	0.7217224266	0.7309884062	0.0012822601	0.0052687873	0.0492282477
17	chr7	52075501	52075801	52075620	54	intron (uc009gqw.2, intron 1 of 1)	intron (NM_001171024, intron 1 of 8)	3911	uc009gqw.2	Nup62	nuclear pore glycoprotein p62	23.18	15.12	10.08	48.37	32.25	65.5	6.05	20.15	17-Per1_n3R16	0	burg	1	26.091503268	17.3794936342	17.787688609	32.4166666667	0.4891195315	0.3755905385	0.5950424558	0.0486896718	0.0139588705	0.1304229402
18	chr7	28266451	28267020	28266665	24	Intergenic	Intergenic	-5237	uc009fwh.1	Sertad1	SERTA domain-containing protein 1	22.17	3.02	9.07	57.44	47.36	54.41	1.01	10.08	18-Per1_n3R16	1	yule-walker	1	23.6213017751	23.8838590977	16.5391221566	32.245	0.6892393316	0.6201814053	0.6755739803	0.0051989688	0.0060695847	0.0567103964
19	chr7	4102371	4102960	4102580	41	TTS (uc009exe.1)	TTS (NM_021454)	-1191	uc009exd.1	Leng9	leukocyte receptor cluster member 9	17.13	11.08	5.04	59.45	57.44	41.31	5.04	30.23	19-Per1_n3R16	0	burg	1	23.7619047619	24.4776878677	15.7930984835	31.9083333333	0.7027547745	0.6367002799	0.6857763851	0.0042561507	0.0058134877	0.0543175872
20	chr19	6996241	6996741	6996455	24	promoter-TSS (uc008gjg.1)	promoter-TSS (NM_007953)	-193	uc008gjg.1	Esrra	steroid hormone receptor ERR1	20.15	7.05	3.02	58.45	47.36	55.42	7.05	12.09	20-Per1_n3R16	1	burg	1	23.2093023256	24.4492644383	16.7879150086	31.9083333333	0.6510804515	0.5735427741	0.710837817	0.0087551554	0.007079943	0.0661505514
21	chr7	35019031	35019570	35019245	44	promoter-TSS (uc009giy.1)	CpG	-96	uc009giy.1	AK087850	Mus musculus 2 days pregnant adult female ovary cDNA, RIKEN full-length enriched library, clone:E330029N23 product:unclassifiable, full insert sequence.	18.14	6.05	6.05	52.4	58.45	48.37	6.05	4.03	21-Per1_n3R16	0	mle	1	23.2093023256	26.0301193103	16.5223207275	31.5766666667	0.7874858317	0.7402604609	0.6988213201	0.0009402547	0.0052687873	0.0492282477
22	chr1	74443581	74443951	74443785	38	TTS (uc007blz.2)	TTS (NM_153088)	2882	uc007bma.2	Mir26b	Mus musculus microRNA 26b (Mir26b), microRNA.	20.15	14.11	10.08	52.4	40.31	50.38	4.03	11.08	22-Per1_n3R16	1	burg	1	24.1939393939	17.0899390731	16.4830094453	31.2383333333	0.5889272116	0.4975777031	0.548349038	0.0183077208	0.009457723	0.0883670382
23	chr19	23564251	23564660	23564435	44	Intergenic	Zaphod|DNA|Tip100	-41643	uc008hac.1	Mamdc2	MAM domain-containing protein 2 precursor	23.18	14.11	4.03	60.46	34.26	51.39	5.04	22.17	23-Per1_n3R16	1	default	1	24	17.4601010057	16.6395665025	31.2383333333	0.4283436038	0.3013088491	0.6359209723	0.080743543	0.0174751345	0.1632767081
24	chr1	176837771	176838200	176837950	41	intron (uc007dtf.1, intron 1 of 1)	intron (NM_011825, intron 1 of 1)	13965	uc007dtf.1	Grem2	gremlin-2 precursor	18.14	13.1	6.05	66.51	33.25	46.35	6.05	17.13	24-Per1_n3R16	1	yule-walker	1	22.8114285714	18.5640055529	15.8164534031	30.5666666667	0.4124348227	0.2818647833	0.6821777708	0.0913591857	0.0185418911	0.1732438135
25	chr11	101240141	101240890	101240490	24	Intergenic	Intergenic	11471	uc007lor.1	G6pc	glucose-6-phosphatase	13.1	12.09	3.02	59.45	32.25	54.41	8.06	31.24	25-Per1_n3R16	0	mle	1	24.6419753086	18.3081421393	16.1754504492	29.0533333333	0.4264018843	0.2989356364	0.7431647219	0.0819850606	0.0175790833	0.1642479413
26	chr8	129138031	129138450	129138145	38	Intergenic	Intergenic	-20904	uc009nyw.2	Irf2bp2	interferon regulatory factor 2 binding protein	18.14	12.09	6.05	55.42	27.21	54.41	4.03	28.21	26-Per1_n3R16	0	mle	1	24.95	15.5527455506	16.646032047	28.8866666667	0.375589705	0.2368318616	0.6744453554	0.1201199789	0.0213565689	0.1995423997
27	chr16	49896241	49896700	49896455	43	exon (uc007zkg.1, exon 7 of 10)	exon (NM_010581, exon 7 of 10)	40703	uc007zkg.1	Cd47	leukocyte surface antigen CD47	12.09	8.06	7.05	67.51	38.29	40.31	8.06	22.17	27-Per1_n3R16	1	burg	1	22.5536723164	22.4667942219	15.3414503616	28.885	0.5481847295	0.447781336	0.7615616681	0.0280107072	0.0112494614	0.1051079197
28	chr5	149600791	149601220	149601035	38	Intergenic	Intergenic	47589	uc012ehd.1	2210417A02Rik	Mus musculus adult male stomach cDNA, RIKEN full-length enriched library, clone:2210417A02 product:unclassifiable, full insert sequence.	17.13	12.09	3.02	49.38	35.27	55.42	5.04	22.17	28-Per1_n3R16	0	burg	1	24.6419753086	18.310704976	17.1399828292	28.7183333333	0.5357404366	0.4325716448	0.6749046116	0.0316536549	0.0118018296	0.1102689015
29	chr5	90989731	90990210	90989975	37	Intergenic	Intergenic	41995	uc008ybc.1	Afm	afamin precursor	19.15	15.12	3.02	56.43	35.27	36.28	5.04	27.21	29-Per1_n3R16	0	burg	1	24.0481927711	15.6873027293	15.7048225198	27.545	0.4464896897	0.3234873985	0.6282225223	0.0698338069	0.0163062493	0.1523553779
30	chr2	119180861	119181300	119181025	37	Intergenic	Intergenic	4102	uc008lts.2	Chac1	cation transport regulator-like protein 1	9.07	8.06	8.06	54.41	44.34	41.31	9.07	17.13	30-Per1_n3R16	0	burg	1	23.7619047619	21.2026475823	15.4368885827	27.5416666667	0.6858911402	0.6160891713	0.7099444657	0.0054558301	0.0060695847	0.0567103964
31	chr5	122764841	122765480	122765205	37	intron (uc008zky.1, intron 3 of 5)	intron (NM_177242, intron 3 of 5)	30753	uc008zky.1	Pptc7	protein phosphatase PTC7 homolog	14.11	7.05	6.05	67.51	44.34	24.18	4.03	14.11	31-Per1_n3R16	0	burg	1	23.0751445087	24.4897813725	14.6977332187	27.2066666667	0.627711573	0.5449808114	0.8153483155	0.0117208177	0.0079906988	0.0746600829
32	chr5	149806641	149807021	149806845	42	promoter-TSS (uc009aoz.1)	Intergenic	-40	uc009aoz.1	AK036974	Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930430L01 product:unclassifiable, full insert sequence.	12.09	6.05	7.05	53.41	41.31	43.33	4.03	9.07	32-Per1_n3R16	1	burg	1	23.6213017751	20.6576917617	15.8269828204	27.2066666667	0.6626589523	0.587694275	0.7082652017	0.0075216194	0.0067341238	0.0629194338
33	chr11	98635091	98635700	98635215	19	intron (uc007lhh.1, intron 1 of 7)	CpG	1161	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	14.11	7.05	11.08	42.32	33.25	49.38	6.05	5.04	33-Per1_n3R16	0	mle	1	25.106918239	15.8355865761	16.5108268406	26.1983333333	0.6054822294	0.5178116138	0.6210508131	0.0152159673	0.0087513123	0.081766779
34	chr11	120120981	120121650	120121375	43	intron (uc011yiy.1, intron 3 of 27)	intron (NM_198423, intron 3 of 27)	27054	uc011yiy.1	Bahcc1	BAH and coiled-coil domain-containing protein 1	10.08	5.04	1.01	77.59	36.28	23.18	2.02	9.07	34-Per1_n3R16	0	burg	1	23.0751445087	26.5759822479	14.381037068	25.53	0.5301735522	0.4257676749	1.0228070021	0.0333978549	0.0119753514	0.1118901812
35	chr1	193007221	193007610	193007405	28	promoter-TSS (uc007ece.1)	promoter-TSS (NM_007498)	-203	uc007ece.1	Atf3	cyclic AMP-dependent transcription factor ATF-3	14.11	3.02	2.02	40.31	45.35	47.36	2.02	7.05	35-Per1_n3R16	0	default	1	24	22.0984310957	16.9652807145	25.3616666667	0.7738385699	0.7235804744	0.7682019815	0.0012441806	0.0052687873	0.0492282477
36	chr7	29762601	29763070	29762775	34	intron (uc009gai.1, intron 3 of 7)	intron (NM_028659, intron 3 of 7)	3998	uc009gai.1	Eif3k	eukaryotic translation initiation factor 3	13.1	6.05	2.02	64.49	35.27	28.21	2.02	7.05	36-Per1_n3R16	0	burg	1	23.4823529412	21.3360699724	14.8396831499	24.8566666667	0.5297944613	0.4253043416	0.8540382856	0.0335192916	0.0119753514	0.1118901812
37	chr8	128096131	128096600	128096405	52	Intergenic	Intergenic	-12173	uc012gnc.1	4930567H12Rik	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930567H12 product:unclassifiable, full insert sequence.	10.08	3.02	1.01	71.54	31.24	29.22	2.02	8.06	37-Per1_n3R16	0	burg	1	23.4823529412	23.4438440548	14.5626101563	24.3516666667	0.493676251	0.3811598623	0.9920171558	0.0467656896	0.0137030055	0.1280322984
38	chr10	126792381	126792701	126792555	50	TTS (uc007hjj.2)	TTS (NM_010565)	-3713	uc011xps.1	Inhbe	inhibin beta E chain precursor	14.11	11.08	5.04	60.46	25.19	30.23	8.06	16.12	38-Per1_n3R16	1	yule-walker	1	21.8142076503	16.0823056707	15.2202025396	24.3516666667	0.3855473124	0.2490022707	0.7484340689	0.1117372598	0.0206245943	0.1927032876
39	chr12	113835361	113835780	113835545	36	intron (uc007pes.1, intron 1 of 22)	intron (NM_198411, intron 1 of 22)	8575	uc007pes.1	Inf2	inverted formin-2	10.08	12.09	5.04	53.41	29.22	35.27	2.02	13.1	39-Per1_n3R16	1	burg	1	23.4823529412	15.5083966322	15.2122415519	24.185	0.4589653074	0.3387353758	0.69886997	0.0630250231	0.015636314	0.1460959216
40	chr8	126789621	126790200	126789955	43	intron (uc009nwz.1, intron 1 of 15)	intron (NM_139272, intron 1 of 15)	34616	uc009nwz.1	Galnt2	polypeptide N-acetylgalactosaminyltransferase 2	3.02	8.06	9.07	69.53	23.18	31.24	10.08	12.09	40-Per1_n3R16	0	burg	1	23.6213017751	20.9014733022	13.6309312408	24.0166666667	0.4607430104	0.3409081238	0.9377308111	0.0620984876	0.0155156536	0.1449685464
41	chr4	141346501	141346920	141346730	24	promoter-TSS (uc008vpf.1)	promoter-TSS (NM_172338)	-151	uc008vpf.1	Dnajc16	dnaJ homolog subfamily C member 16 precursor	18.14	10.08	6.05	35.27	34.26	39.3	5.04	11.08	41-Per1_n3R16	0	mle	1	23.6213017751	14.4485730728	17.3102745847	23.85	0.7122168776	0.6482650727	0.5457567076	0.0036795435	0.0056931353	0.0531930893
42	chr2	165763851	165764580	165764190	29	Intergenic	MLT1H2|LTR|MaLR	-53922	uc008nyi.2	Ncoa3	nuclear receptor coactivator 3	8.06	6.05	4.03	55.42	31.24	37.28	6.05	17.13	42-Per1_n3R16	1	burg	1	23.3450292398	18.795539388	15.3524785899	23.68	0.5328877159	0.4290849861	0.8068835023	0.0325383704	0.0118949112	0.1111385979
43	chr4	141421451	141421881	141421685	33	intron (uc008vpl.1, intron 1 of 3)	intron (NM_025994, intron 1 of 3)	9169	uc008vpl.1	Efhd2	EF-hand domain-containing protein D2	8.06	11.08	4.03	49.38	27.21	40.31	7.05	20.15	43-Per1_n3R16	0	burg	1	24.490797546	14.657675703	15.4972327215	23.345	0.4369077144	0.3117760953	0.7289841165	0.0754411151	0.0169538246	0.1584059154
44	chr7	36372781	36373390	36372945	33	intron (uc009gkd.1, intron 1 of 28)	intron (NM_145633, intron 1 of 28)	1819	uc009gkd.1	Ankrd27	ankyrin repeat domain-containing protein 27	8.06	8.06	4.03	59.45	26.2	34.26	3.02	22.17	44-Per1_n3R16	1	yule-walker	1	22.9425287356	17.8256638091	14.9967975151	23.3433333333	0.4424813051	0.3185882618	0.8334668405	0.072138558	0.0165784638	0.154898779
45	chr16	95904061	95904551	95904230	21	Intergenic	Intergenic	-19708	uc008ace.2	Ets2	protein C-ets-2	10.08	16.12	4.03	36.28	29.22	43.33	9.07	20.15	45-Per1_n3R16	1	burg	1	27.7222222222	12.2584411969	16.3916682236	23.1766666667	0.4861273604	0.3719334405	0.6107704846	0.0499861545	0.0141518505	0.1322260244
46	chr13	44401581	44401991	44401765	40	Intergenic	Intergenic	-89930	uc007qgo.1	AK136877	Mus musculus adult male spinal cord cDNA, RIKEN full-length enriched library, clone:A330050A06 product:unclassifiable, full insert sequence.	9.07	9.07	9.07	68.52	20.15	21.16	5.04	7.05	46-Per1_n3R16	1	burg	1	22.3016759777	19.6663591576	13.8001343042	22.84	0.4438911983	0.3203114646	0.9228316352	0.0713212522	0.0164969733	0.1541373835
47	chr15	85601661	85602080	85601855	30	intron (uc007xdj.2, intron 2 of 7)	intron (NM_011144, intron 2 of 7)	35876	uc007xdj.2	Ppara	peroxisome proliferator-activated receptor	12.09	14.11	9.07	37.28	22.17	42.32	6.05	20.15	47-Per1_n3R16	0	burg	1	26.6133333333	9.9146851446	16.445326378	22.84	0.3870832127	0.2508794821	0.5566396162	0.1104858915	0.0205749397	0.1922393463
48	chr2	29478791	29479171	29478985	35	intron (uc008izu.1, intron 1 of 25)	intron (NM_054050, intron 1 of 23)	3741	uc008izu.1	Rapgef1	Rap guanine nucleotide exchange factor (GEF) 1	13.1	11.08	3.02	42.32	31.24	36.28	8.06	13.1	48-Per1_n3R16	1	burg	1	23.4823529412	14.3717765929	16.4234708627	22.84	0.5518610773	0.45227465	0.6336325039	0.0269995792	0.011073342	0.1034623702
49	chr8	10974101	10974430	10974265	39	Intergenic	Intergenic	-33585	uc009kva.1	AK162519	Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230089I11 product:unclassifiable, full insert sequence.	12.09	9.07	7.05	44.34	28.21	34.26	5.04	15.12	49-Per1_n3R16	1	burg	1	23.2093023256	13.7698996318	15.7968552992	22.5033333333	0.5323760615	0.4284596308	0.6219508845	0.0326990631	0.0118949112	0.1111385979
50	chr14	69881011	69881301	69881175	40	intron (uc007ume.1, intron 1 of 3)	intron (NM_026331, intron 1 of 3)	22004	uc007ume.1	Slc25a37	mitoferrin-1	12.09	21.16	4.03	47.36	17.13	33.25	5.04	37.28	50-Per1_n3R16	0	mle	1	24.7950310559	7.5665499651	14.8972625077	22.5033333333	0.1547548516	-0.0330774036	0.632029585	0.4692692425	0.0536123154	0.5009198865
51	chr9	107489821	107490321	107490145	19	promoter-TSS (uc009rmd.1)	promoter-TSS (NM_025903)	22	uc009rmd.1	Ifrd2	interferon-related developmental regulator 2	12.09	6.05	5.04	46.35	28.21	36.28	0	13.1	51-Per1_n3R16	1	yule-walker	1	23.0751445087	15.4900499203	16.0036559951	22.3366666667	0.5320291736	0.4280356566	0.7019378406	0.032808359	0.0118999001	0.1111852109
52	chr3	146252431	146252890	146252655	24	intron (uc008rro.2, intron 3 of 6)	intron (NM_019957, intron 3 of 6)	-7453	uc008rrp.1	Uox	uricase	13.1	17.13	5.04	36.28	22.17	39.3	5.04	14.11	52-Per1_n3R16	1	burg	1	27.3424657534	9.2083703577	16.728679015	22.17	0.3488322485	0.2041283037	0.5504756778	0.1450834852	0.0236270685	0.220756526
53	chr16	23337361	23337800	23337630	30	intron (uc007yto.1, intron 5 of 7)	intron (NM_145933, intron 5 of 7)	-91626	uc007ytq.1	Rtp1	receptor-transporting protein 1	15.12	14.11	8.06	22.17	33.25	39.3	4.03	14.11	53-Per1_n3R16	1	burg	1	25.106918239	12.2218778197	18.1894625108	22.0016666667	0.75817863	0.7044405478	0.5012659323	0.001681613	0.0053442145	0.0499329923
54	chr9	21796641	21797050	21796775	36	intron (uc012gpk.1, intron 8 of 12)	RSINE1|SINE|B4	-2948	uc009onf.1	Rgl3	ral guanine nucleotide dissociation	12.09	10.08	2.02	54.41	25.19	28.21	1.01	11.08	54-Per1_n3R16	1	yule-walker	1	21.8142076503	15.3815226085	15.5039829651	22	0.404265532	0.2718800946	0.7737611622	0.0972158946	0.0191946984	0.1793432361
55	chr14	31835811	31836190	31836005	36	5' UTR (uc007swn.1, exon 2 of 33)	5' UTR (NM_001081251, exon 2 of 33)	3676	uc007swn.1	Pbrm1	protein polybromo-1	9.07	15.12	6.05	48.37	16.12	36.28	5.04	19.15	55-Per1_n3R16	0	burg	1	25.106918239	9.596074053	14.6582211214	21.835	0.2241017946	0.0516799712	0.7002328064	0.3192429851	0.0397181224	0.3711012518
56	chr3	100725901	100726340	100726175	24	promoter-TSS (uc008qqz.2)	promoter-TSS (NM_001165953)	-296	uc008qqz.2	Trim45	tripartite motif-containing protein 45 isoform	5.04	5.04	6.05	37.28	38.29	39.3	5.04	14.11	56-Per1_n3R16	1	yule-walker	1	23.7619047619	17.8448999714	16.1207363716	21.8333333333	0.7215083768	0.6596213494	0.7543711055	0.0031743486	0.0056524576	0.052813023
57	chr8	123062631	123063090	123062865	28	intron (uc009nqz.2, intron 1 of 15)	(TG)n|Simple_repeat|Simple_repeat	50094	uc009nqz.2	Gse1	genetic suppressor element 1 isoform 1	12.09	5.04	3.02	47.36	26.2	37.28	1.01	6.05	57-Per1_n3R16	1	yule-walker	1	23.2093023256	15.7038548356	16.1041379541	21.8316666667	0.4905786165	0.3773738646	0.7573238976	0.0480670279	0.0138606716	0.1295054318
58	chr3	65467031	65467600	65467335	27	Intergenic	Intergenic	-2835	uc012cqf.1	Lekr1	leucine, glutamate and lysine rich 1 isoform 1	19.15	18.14	5.04	44.34	24.18	19.15	5.04	15.12	58-Per1_n3R16	0	burg	1	22.5536723164	9.1985669959	15.1408708513	21.6666666667	0.2966454795	0.1403444749	0.5401996782	0.2052505236	0.0290557168	0.2714784146
59	chr5	53587731	53588360	53587925	24	intron (uc008xlc.1, intron 2 of 23)	intron (NM_172710, intron 2 of 23)	16646	uc008xlc.1	Sel1l3	protein sel-1 homolog 3	8.06	8.06	2.02	51.39	34.26	26.2	5.04	13.1	59-Per1_n3R16	0	burg	1	23.9041916168	17.8770543398	14.830707368	21.665	0.5781987087	0.4844650884	0.8036544811	0.020558223	0.009998042	0.0934154409
60	chr17	57069551	57069870	57069715	45	intron (uc008ddk.1, intron 1 of 11)	intron (NM_022328, intron 1 of 11)	5101	uc008ddk.1	Mllt1	protein ENL	9.07	7.05	2.02	50.38	28.21	32.25	4.03	7.05	60-Per1_n3R16	1	yule-walker	1	22.6818181818	16.6462190313	15.6341601935	21.4966666667	0.5033423436	0.3929739756	0.7915994842	0.0428802301	0.0131979942	0.1233137889
61	chr11	98812751	98813191	98813050	26	Intergenic	intron (NM_001177303, intron 2 of 8)	-8814	uc007lhz.2	Rara	retinoic acid receptor alpha isoform 2	9.07	9.07	1.01	44.34	32.25	32.25	2.02	4.03	61-Per1_n3R16	1	burg	1	22.9425287356	16.1069920373	16.0051781985	21.3316666667	0.5689452703	0.4731553304	0.7366243785	0.0226670951	0.0103751961	0.0969393321
62	chr11	83375891	83376371	83376205	32	Intergenic	Intergenic	16007	uc007kpj.1	Ccl9	C-C motif chemokine 9	13.1	6.05	4.03	47.36	27.21	30.23	2.02	28.21	62-Per1_n3R16	1	yule-walker	1	22.0552486188	15.2760665692	15.9319720746	21.33	0.5111341366	0.402497278	0.7140509574	0.0399350015	0.0128556114	0.1201147784
63	chr4	57125011	57125450	57125245	22	intron (uc008sxz.2, intron 1 of 15)	intron (NM_019427, intron 1 of 15)	30798	uc008sxz.2	Epb4.1l4b	band 4.1-like protein 4B	18.14	9.07	5.04	44.34	21.16	30.23	3.02	14.11	63-Per1_n3R16	1	yule-walker	1	21.8142076503	11.2742304933	16.3578535872	21.33	0.3592243222	0.2168297271	0.6156141452	0.1349513036	0.0226893144	0.2119947386
