ID	Chr	Start	End	Summit	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Bmal1_CT0/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT4/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT8/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT12/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT16/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT20/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_KO/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_Input/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
11	chr11	98635311	98635760	98635485	59	intron (uc007lhh.1, intron 1 of 7)	intron (NM_145434, intron 1 of 7)	1021	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	91.43	75.97	105.59	59.23	34.77	20.6	0	5.15	11-Bmal1_n3R1	0	burg	1	26.4370860927	29.674760434	4.3888234166	64.5983333333	0.6219131871	0.5378938953	0.4637185244	0.0125649824	0.0002669344	0.0189142072
12	chr7	56607161	56607840	56607445	52	intron (uc009hbm.2, intron 1 of 37)	intron (NM_175272, intron 1 of 37)	105941	uc009hbm.2	Nav2	neuron navigator 2 isoform 1	77.26	133.92	123.62	28.33	5.15	10.3	2.58	5.15	12-Bmal1_n3R1	0	mle	1	23.4823529412	62.3626085241	5.4976691509	63.0966666667	0.8210383165	0.7812690535	0.8243771843	0.0004339306	0.00004329	0.0030674047
13	chr1	93355801	93356370	93355940	29	promoter-TSS (uc007cav.1)	promoter-TSS (NM_011066)	-180	uc007cav.1	Per2	period circadian protein homolog 2	64.39	66.96	83.7	90.14	48.93	18.03	0	0	13-Bmal1_n3R1	0	mle	1	24.490797546	28.1421276315	8.4710919161	62.025	0.7452758399	0.6886704709	0.3836375054	0.0021247881	7.89394959765E-005	0.0055934271
14	chr6	94949091	94949570	94949235	75	Intergenic	Intergenic	-118570	uc009czw.2	Kbtbd8	kelch repeat and BTB domain-containing protein 8	114.61	86.28	95.29	42.49	15.45	15.45	2.58	0	14-Bmal1_n3R1	1	mle	1	27.5310344828	37.6766455126	1.5312780051	61.595	0.657698783	0.5816318459	0.6350047414	0.0080322644	0.0001888358	0.0133803632
15	chr3	41368311	41368771	41368555	63	intron (uc008pcj.2, intron 1 of 10)	promoter-TSS (NM_001130186)	8885	uc008pcj.2	Phf17	protein Jade-1	78.55	86.28	119.76	57.95	9.01	6.44	2.58	2.58	15-Bmal1_n3R1	1	default	1	24	47.2415262125	6.3007911565	59.665	0.780164141	0.7313117279	0.6869036345	0.0010950738	5.82929042909E-005	0.0041304686
16	chr13	53070101	53070600	53070235	83	intron (uc007qni.1, intron 1 of 1)	intron (NM_017373, intron 1 of 1)	6058	uc007qni.1	Nfil3	nuclear factor interleukin-3-regulated protein	105.59	131.35	70.82	34.77	9.01	5.15	1.29	2.58	16-Bmal1_n3R1	1	mle	1	24.7950310559	50.2537595726	3.2990057471	59.4483333333	0.7377604065	0.6794849413	0.7987791646	0.0024218218	8.48688080445E-005	0.0060135613
17	chr8	126789621	126790170	126790015	55	intron (uc009nwz.1, intron 1 of 15)	intron (NM_139272, intron 1 of 15)	34601	uc009nwz.1	Galnt2	polypeptide N-acetylgalactosaminyltransferase 2	78.55	87.56	100.44	63.1	19.32	1.29	3.86	2.58	17-Bmal1_n3R1	1	burg	1	24.7950310559	40.938957017	5.9297008766	58.3766666667	0.7869854066	0.7396488303	0.6190030675	0.0009502593	5.5161915552E-005	0.0039086157
18	chr7	52961201	52961730	52961450	67	intron (uc009gws.2, intron 1 of 3)	intron (NM_016974, intron 1 of 3)	848	uc009gws.2	Dbp	D site-binding protein	42.49	92.71	105.59	74.69	18.03	12.88	2.58	2.58	18-Bmal1_n3R1	0	mle	1	23.6213017751	46.4787673672	7.5772702618	57.7316666667	0.9216255164	0.9042089645	0.6173564183	0.000010563	2.44457300194E-005	0.0017321546
19	chr2	29478731	29479171	29478985	58	intron (uc008izu.1, intron 1 of 25)	intron (NM_054050, intron 1 of 23)	3711	uc008izu.1	Rapgef1	Rap guanine nucleotide exchange factor (GEF) 1	59.23	87.56	103.02	57.95	21.89	14.16	1.29	3.86	19-Bmal1_n3R1	1	default	1	24	39.5206319044	6.6513999795	57.3016666667	0.8740062166	0.8460075981	0.5575866061	8.9448080939E-005	0.000034722	0.0024603021
20	chr19	23210011	23210590	23210385	37	TTS (uc008gzy.1)	CpG	910	uc008gzy.1	AK019124	Mus musculus ES cells cDNA, RIKEN full-length enriched library, clone:2410071A13 product:hypothetical protein, full insert sequence.	52.8	103.02	95.29	48.93	20.6	12.88	1.29	2.58	20-Bmal1_n3R1	1	burg	1	23.7619047619	41.8226033778	6.3263881378	55.5866666667	0.8592434174	0.8279641769	0.6112286821	0.0001472683	3.58566245744E-005	0.002540698
21	chr9	42280221	42280511	42280365	81	promoter-TSS (uc009pay.1)	promoter-TSS (NM_173038)	-57	uc009pay.1	Tbcel	tubulin-specific chaperone cofactor E-like	92.71	114.61	86.28	21.89	6.44	9.01	0	0	21-Bmal1_n3R1	0	default	1	24	49.4810703875	4.1437685608	55.1566666667	0.7946039625	0.7489603986	0.7945317847	0.0008066112	5.22400500757E-005	0.0037015807
22	chr17	8541841	8542260	8541975	67	Intergenic	MTEa|LTR|MaLR	8446	uc012ajr.1	Prr18	proline-rich protein 18	84.99	104.3	99.15	16.74	11.59	0	0	2.58	22-Bmal1_n3R1	1	yule-walker	1	23.6213017751	48.9706643586	4.9620212295	52.795	0.7464566227	0.69011365	0.8336703658	0.0020808234	7.81821153589E-005	0.0055397613
23	chr11	118126901	118127520	118127155	51	intron (uc011yim.1, intron 15 of 20)	ID_B1|SINE|B4	24348	uc011yim.1	Usp36	ubiquitin specific peptidase 36	56.66	88.85	108.17	46.36	5.15	6.44	3.86	3.86	23-Bmal1_n3R1	0	mle	1	23.3450292398	47.2261744366	6.6544833574	51.9383333333	0.8545394903	0.8222149326	0.7389107494	0.000170747	3.73709004257E-005	0.0026479952
24	chr14	70026921	70027370	70027155	64	intron (uc007umo.2, intron 1 of 13)	intron (NM_033325, intron 1 of 13)	12938	uc007uml.1	AK086749	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930513O14 product:mitochondrial solute carrier protein, full insert sequence.	75.97	100.44	84.99	28.33	10.3	10.3	2.58	9.01	24-Bmal1_n3R1	1	burg	1	24.6419753086	41.2886508407	4.279437245	51.7216666667	0.8041189298	0.7605898031	0.708054472	0.0006515775	0.000048912	0.0034657636
25	chr17	29533711	29534090	29533955	64	Intergenic	Intergenic	36041	uc012aon.1	Fgd2	FYVE, RhoGEF and PH domain-containing protein 2	87.56	109.45	78.55	15.45	9.01	10.3	0	0	25-Bmal1_n3R1	0	default	1	24	46.3871382243	3.9082360181	51.72	0.7851424786	0.7373963628	0.796899729	0.0009878193	5.59925651163E-005	0.0039674732
26	chr5	93014961	93015520	93015155	40	intron (uc008ydn.2, intron 5 of 6)	intron (NM_001170572, intron 5 of 5)	14677	uc008ydn.2	Fam47e	hypothetical protein LOC384198 isoform 1	69.54	81.13	91.43	38.63	12.88	14.16	1.29	6.44	26-Bmal1_n3R1	1	mle	1	23.9041916168	35.9566313431	5.5200488633	51.295	0.7968815891	0.7517441644	0.608678871	0.000767135	0.000051387	0.0036411384
27	chr2	92274221	92274700	92274385	47	promoter-TSS (uc008kxy.2)	promoter-TSS (NM_009963)	-234	uc008kxy.2	Cry2	cryptochrome-2	69.54	73.4	79.84	43.78	21.89	18.03	1.29	2.58	27-Bmal1_n3R1	1	yule-walker	1	24.490797546	27.3714504007	5.1637567354	51.08	0.771844673	0.7211434892	0.4837665336	0.0012943084	6.2376065275E-005	0.0044197898
28	chr15	101934351	101935020	101934725	49	intron (uc007xuo.1, intron 1 of 28)	intron (NM_153533, intron 1 of 28)	1266	uc007xuo.1	Tenc1	tensin-like C1 domain-containing phosphatase	50.22	75.97	101.73	55.37	9.01	11.59	1.29	3.86	28-Bmal1_n3R1	0	burg	1	23.3450292398	41.1281721884	7.1652929939	50.6483333333	0.862506069	0.8319518621	0.6514670467	0.0001325183	0.000035723	0.0025312284
29	chr11	68912161	68912611	68912295	56	Intergenic	promoter-TSS (NM_011065)	-1274	uc007jph.2	Per1	period circadian protein homolog 1	47.64	64.39	95.29	52.8	24.47	12.88	0	2.58	29-Bmal1_n3R1	0	mle	1	23.7619047619	33.1619933908	7.4334891573	49.5783333333	0.8461807724	0.8119987218	0.5399835506	0.0002195573	3.78584502577E-005	0.0026825416
30	chr14	19070941	19071400	19071125	39	intron (uc007shp.2, intron 1 of 7)	CpG	450	uc007shp.2	Nr1d2	nuclear receptor subfamily 1 group D member 2	56.66	70.82	70.82	50.22	24.47	19.32	0	0	30-Bmal1_n3R1	1	burg	1	24.0481927711	24.0722276618	6.1515188813	48.7183333333	0.8385907953	0.8027220831	0.4185302448	0.0002726951	3.93361614758E-005	0.002787248
31	chr11	90279131	90279740	90279510	31	Intergenic	CpG	-27204	uc007kws.1	Hlf	hepatic leukemia factor	32.19	68.25	69.54	65.67	29.62	24.47	0	0	31-Bmal1_n3R1	0	mle	1	23.9041916168	25.9146312806	8.1079838694	48.29	0.9018685596	0.8800615729	0.4078345409	2.9049374204E-005	2.92607679786E-005	0.0020733344
32	chr2	167828931	167829440	167829185	48	intron (uc008oal.1, intron 2 of 21)	intron (NM_001080708, intron 2 of 21)	-6844	uc008oan.1	AK027991	Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110062I07 product:unclassifiable, full insert sequence.	61.81	100.44	84.99	23.18	5.15	12.88	1.29	1.29	32-Bmal1_n3R1	0	mle	1	22.8114285714	44.2261560759	5.6501881565	48.075	0.821762703	0.7821544147	0.7592762128	0.0004260824	4.30179393935E-005	0.0030481283
33	chr5	138696461	138696881	138696595	43	promoter-TSS (uc009afd.2)	promoter-TSS (NM_001081108)	-39	uc009afd.2	0910001L09Rik	hypothetical protein LOC66096	86.28	87.56	94	11.59	2.58	5.15	1.29	3.86	33-Bmal1_n3R1	1	yule-walker	1	23.4823529412	45.8083961219	4.7199665271	47.86	0.7267357941	0.666010415	0.8686852467	0.0029148913	9.46832449215E-005	0.0067089842
34	chr6	55125901	55126330	55126095	48	Intergenic	Intergenic	-1131	uc009can.1	Inmt	indolethylamine N-methyltransferase	66.96	83.7	68.25	36.06	14.16	16.74	0	2.58	34-Bmal1_n3R1	0	default	1	24	30.6187410162	4.7469697512	47.645	0.8123729589	0.7706780609	0.5624108611	0.0005368209	4.527027891E-005	0.0032077226
35	chr5	113582061	113582521	113582345	39	intron (uc008yua.2, intron 1 of 7)	intron (NM_172884, intron 1 of 7)	10042	uc008yua.2	2900026A02Rik	hypothetical protein LOC243219	55.37	69.54	82.41	55.37	14.16	7.73	0	1.29	35-Bmal1_n3R1	0	burg	1	24.1939393939	32.9059980297	6.6172033631	47.43	0.8402498908	0.8047498666	0.5787801168	0.0002603066	0.000038917	0.0027575477
36	chr5	73865651	73866100	73865860	66	Intergenic	Intergenic	-6419	uc008xsy.2	Dcun1d4	DCN1-like protein 4 isoform A	51.51	99.15	75.97	42.49	11.59	3.86	2.58	2.58	36-Bmal1_n3R1	0	default	1	24	39.6627683675	5.8222982777	47.4283333333	0.8258202232	0.7871136062	0.7052733371	0.0003841402	4.18974171287E-005	0.0029687313
37	chr5	136150721	136151030	136150850	60	Intergenic	Intergenic	-14209	uc008zyt.1	Por	NADPH--cytochrome P450 reductase	60.52	65.67	82.41	46.36	19.32	6.44	1.29	1.29	37-Bmal1_n3R1	0	burg	1	24.6419753086	30.049562358	6.0408343073	46.7866666667	0.779777941	0.7308397057	0.5652676859	0.0011037575	5.85038302944E-005	0.0041454143
38	chr11	98636841	98637181	98636965	37	promoter-TSS (uc007lhh.1)	promoter-TSS (NM_145434)	-455	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	73.4	65.67	81.13	41.21	6.44	5.15	0	0	38-Bmal1_n3R1	0	default	1	24	32.5134674727	5.5253041157	45.5	0.699326357	0.6325099919	0.6730531356	0.004481559	0.0001242823	0.0088062856
39	chr7	71062561	71063001	71062785	56	intron (uc009hfn.2, intron 1 of 1)	intron (NM_021366, intron 1 of 1)	21020	uc009hfn.2	Klf13	Krueppel-like factor 13	48.93	64.39	92.71	46.36	14.16	6.44	1.29	3.86	39-Bmal1_n3R1	0	mle	1	23.7619047619	35.394989148	7.0025658143	45.4983333333	0.8307086636	0.7930883666	0.6411642322	0.000337953	4.18974171287E-005	0.0029687313
40	chr13	44401501	44402070	44401715	43	Intergenic	Intergenic	-89929	uc007qgo.1	AK136877	Mus musculus adult male spinal cord cDNA, RIKEN full-length enriched library, clone:A330050A06 product:unclassifiable, full insert sequence.	43.78	68.25	96.58	45.07	9.01	6.44	0	2.58	40-Bmal1_n3R1	0	burg	1	23.3450292398	39.1839281229	7.1854516172	44.855	0.85223187	0.8193945078	0.7040935132	0.0001832793	3.73709004257E-005	0.0026479952
41	chr3	94175481	94175950	94175715	39	intron (uc008qfx.1, intron 1 of 2)	Intergenic	-1033	uc008qfy.2	Rorc	nuclear receptor ROR-gamma	57.95	59.23	65.67	39.92	21.89	23.18	0	2.58	41-Bmal1_n3R1	0	default	1	24	19.49842768	5.4154102127	44.64	0.7638797273	0.7114085555	0.3915081931	0.001510427	6.71300892919E-005	0.0047566463
42	chr19	42203511	42204170	42203875	43	promoter-TSS (uc008hnh.1)	promoter-TSS (NM_027106)	-357	uc008hnh.1	Avpi1	arginine vasopressin-induced protein 1	39.92	77.26	95.29	33.48	7.73	10.3	1.29	1.29	42-Bmal1_n3R1	0	burg	1	23.0751445087	40.3505460218	6.8198903722	43.9966666667	0.840055413	0.8045121715	0.7374038857	0.0002617357	0.000038917	0.0027575477
43	chr4	128623901	128624321	128624095	46	intron (uc008uvq.1, intron 8 of 10)	intron (NM_172875, intron 8 of 10)	15550	uc008uvq.1	Adc	antizyme inhibitor 2	54.08	77.26	87.56	32.19	2.58	9.01	0	2.58	43-Bmal1_n3R1	1	mle	1	23.2093023256	38.8241826061	6.1668519914	43.78	0.8318639899	0.7945004321	0.7333271217	0.0003276976	4.14708408301E-005	0.0029385053
44	chr3	138105541	138105981	138105735	36	promoter-TSS (uc008rnk.1)	promoter-TSS (NM_007410)	-367	uc008rnk.1	Adh5	alcohol dehydrogenase class-3	74.69	61.81	66.96	36.06	12.88	7.73	0	0	44-Bmal1_n3R1	1	mle	1	27.9160839161	25.7174783514	1.9713728874	43.355	0.6757138249	0.6036502304	0.605200898	0.0062976418	0.0001575817	0.0111657921
45	chr4	149506621	149507120	149506895	45	intron (uc008vxk.1, intron 6 of 13)	intron (NM_019741, intron 6 of 13)	13417	uc008vxk.1	Slc2a5	solute carrier family 2, facilitated glucose	46.36	81.13	77.26	39.92	9.01	5.15	1.29	1.29	45-Bmal1_n3R1	1	burg	1	23.7619047619	36.2020592083	6.2468880713	43.1383333333	0.8693991564	0.8403767467	0.6848116317	0.0001051373	3.5684139119E-005	0.0025284761
46	chr1	174240191	174240600	174240325	52	Intergenic	Intergenic	-2143	uc007dqe.1	Igsf8	immunoglobulin superfamily member 8	47.64	41.21	87.56	52.8	24.47	3.86	1.29	0	46-Bmal1_n3R1	1	default	1	24	29.4269040713	8.0438499844	42.9233333333	0.7100306656	0.6455930357	0.6001523652	0.0038070127	0.0001120887	0.0079422851
47	chr15	88680731	88681370	88681065	38	Intergenic	Intergenic	-11574	uc007xeq.1	Pim3	serine/threonine-protein kinase pim-3	47.64	75.97	73.4	37.34	12.88	9.01	0	3.86	47-Bmal1_n3R1	1	burg	1	23.7619047619	31.8465883898	6.1018036058	42.7066666667	0.8602347559	0.8291758127	0.6140921329	0.0001426581	0.000035723	0.0025312284
48	chr2	38853231	38853620	38853495	61	promoter-TSS (uc008jnx.2)	promoter-TSS (NM_029687)	-404	uc008jnx.2	Wdr38	WD repeat-containing protein 38	84.99	92.71	65.67	3.86	2.58	2.58	0	2.58	48-Bmal1_n3R1	0	burg	1	24.0481927711	43.942328177	3.509160018	42.065	0.7634350926	0.7108651131	0.9480532881	0.0015232684	0.000067451	0.0047793852
49	chr7	87591201	87591531	87591320	52	Intergenic	Intergenic	-43718	uc009iau.1	Furin	furin preproprotein	72.11	83.7	64.39	15.45	11.59	2.58	0	0	49-Bmal1_n3R1	0	burg	1	24.95	34.5949619044	3.4744863368	41.6366666667	0.7481196742	0.6921462684	0.780077144	0.0020201058	7.72324742812E-005	0.0054724725
50	chr8	79568721	79569210	79568955	50	intron (uc009mhl.1, intron 2 of 8)	intron (NM_001083906, intron 2 of 8)	142558	uc009mhl.1	Nr3c2	mineralocorticoid receptor	54.08	79.84	56.66	33.48	10.3	7.73	1.29	1.29	50-Bmal1_n3R1	1	mle	1	24.490797546	29.1649884004	4.7587237113	40.3483333333	0.794487958	0.7488186153	0.6421805357	0.0008086633	5.23326020131E-005	0.0037081387
51	chr19	23564241	23564630	23564440	46	Intergenic	Zaphod|DNA|Tip100	-41623	uc008hac.1	Mamdc2	MAM domain-containing protein 2 precursor	54.08	74.69	57.95	30.9	14.16	9.01	1.29	0	51-Bmal1_n3R1	0	default	1	24	27.1645321463	5.0591662701	40.1316666667	0.7974322509	0.7524171956	0.5961802441	0.0007578205	5.11675191963E-005	0.0036255842
52	chr19	46742571	46743060	46742805	54	intron (uc008hua.2, intron 6 of 7)	intron (NM_007809, intron 6 of 7)	4675	uc008hua.2	Cyp17a1	steroid 17-alpha-hydroxylase/17,20 lyase	70.82	84.99	64.39	7.73	5.15	6.44	3.86	6.44	52-Bmal1_n3R1	0	burg	1	23.6213017751	38.4740284431	4.1362413533	39.92	0.7758056648	0.7259847014	0.8526211214	0.0011962194	6.04951434809E-005	0.004286513
53	chr3	101609661	101610020	101609815	54	Intergenic	Intergenic	30306	uc008qrk.2	BC037703	hypothetical protein LOC242125	55.37	79.84	82.41	11.59	2.58	3.86	0	0	53-Bmal1_n3R1	0	burg	1	23.3450292398	40.2822209985	5.4061037285	39.275	0.7832724712	0.7351107981	0.877861607	0.0010271015	5.67982386269E-005	0.0040245609
54	chr1	55109061	55109660	55109405	46	promoter-TSS (uc007azz.1)	promoter-TSS (NM_001039710)	-254	uc007azz.1	Coq10b	coenzyme Q-binding protein COQ10 homolog B,	12.88	45.07	110.74	56.66	9.01	1.29	1.29	0	54-Bmal1_n3R1	0	burg	1	22.8114285714	47.8527442362	8.9353844882	39.275	0.8499577608	0.816615041	0.9582563271	0.0001963184	3.73709004257E-005	0.0026479952
55	chr11	102269701	102270200	102269915	33	Intergenic	Intergenic	-1119	uc007lrt.2	Slc25a39	solute carrier family 25 member 39	57.95	60.52	65.67	28.33	11.59	11.59	1.29	0	55-Bmal1_n3R1	1	mle	1	24.1939393939	25.3591284599	4.9441131321	39.275	0.7643835259	0.7120243095	0.5833509293	0.0014959788	6.69598589878E-005	0.0047445843
56	chr4	133466471	133466871	133466685	38	Intergenic	CpG	-22957	uc008vdn.2	Rps6ka1	ribosomal protein S6 kinase alpha-1	48.93	59.23	69.54	37.34	9.01	9.01	1.29	0	56-Bmal1_n3R1	1	default	1	24	27.3434507295	6.0739789985	38.8433333333	0.8214572824	0.781781123	0.5984275385	0.0004293778	4.3143228599E-005	0.0030570059
57	chr15	64176571	64177160	64176780	41	intron (uc007vzk.1, intron 2 of 30)	intron (NM_010026, intron 2 of 30)	37616	uc007vzk.1	Asap1	arf-GAP with SH3 domain, ANK repeat and PH	43.78	55.37	68.25	39.92	16.74	7.73	1.29	3.86	57-Bmal1_n3R1	1	default	1	24	25.1225413048	6.7081148986	38.6316666667	0.84091505	0.8055628389	0.540891407	0.0002554647	0.000038917	0.0027575477
58	chr17	74605851	74606160	74606010	51	intron (uc012axb.1, intron 7 of 8)	intron (NM_133771, intron 7 of 8)	88198	uc012axb.1	Memo1	protein MEMO1	47.64	73.4	75.97	23.18	5.15	3.86	1.29	1.29	58-Bmal1_n3R1	1	yule-walker	1	23.4823529412	35.373694324	5.8565089533	38.2	0.8264377203	0.7878683248	0.7744935207	0.0003780498	4.18974171287E-005	0.0029687313
59	chr9	107577311	107577730	107577460	47	3' UTR (uc009rmr.1, exon 9 of 9)	3' UTR (NM_008140, exon 9 of 9)	4403	uc009rmr.1	Gnat1	guanine nucleotide-binding protein G(t) subunit	74.69	69.54	55.37	14.16	6.44	7.73	2.58	3.86	59-Bmal1_n3R1	1	mle	1	24.7950310559	31.0315788822	2.9220801111	37.9883333333	0.7480711736	0.6920869899	0.7692169646	0.0020218568	7.72324742812E-005	0.0054724725
60	chr1	155544711	155545220	155544855	47	TTS (uc007dad.1)	TTS (NM_026380)	-42518	uc007dae.2	Rgs16	regulator of G-protein signaling 16	43.78	74.69	60.52	33.48	11.59	3.86	0	3.86	60-Bmal1_n3R1	1	default	1	24	29.5769676856	5.7935262955	37.9866666667	0.8291245383	0.7911522135	0.659893373	0.0003524185	4.18974171287E-005	0.0029687313
61	chr15	38498151	38498610	38498385	41	Intergenic	Intergenic	-49359	uc007vnt.1	Azin1	antizyme inhibitor 1	45.07	69.54	61.81	36.06	7.73	5.15	1.29	2.58	61-Bmal1_n3R1	1	default	1	24	29.2406087031	5.8707713197	37.56	0.8494438833	0.8159869684	0.6530291101	0.0001993622	3.73804127631E-005	0.0026486692
62	chr2	11456951	11457351	11457155	42	Intergenic	CpG	-33434	uc008iik.2	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,	45.07	74.69	56.66	29.62	10.3	6.44	0	0	62-Bmal1_n3R1	1	default	1	24	28.4560569358	5.3769489024	37.13	0.8163026521	0.7754810193	0.6572593765	0.0004880485	4.45536212305E-005	0.0031569423
63	chr15	81641241	81641611	81641495	34	intron (uc007wxj.2, intron 1 of 3)	promoter-TSS (NM_017376)	8323	uc007wxj.2	Tef	thyrotroph embryonic factor isoform 2	45.07	55.37	39.92	39.92	24.47	16.74	1.29	0	63-Bmal1_n3R1	0	burg	1	26.091503268	12.8345890086	4.2308558727	36.915	0.6544596311	0.5776728825	0.347450726	0.0083800106	0.0001951477	0.0138276118
