ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Clock_CT0/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT4/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT8/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT12/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT16/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT20/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_KO/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_Input/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
11	chr11	31724481	31724991	31724745	36	promoter-TSS (uc011xsw.1)	Intergenic	-189	uc011xsw.1	AK158188	Mus musculus 0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630024D03 product:unclassifiable, full insert sequence.	21.35	32.42	45.86	24.51	15.02	15.02	0.79	4.74	11-Clock_n3R15	0	burg	1	22.9425287356	13.3930236406	7.6904717298	25.6966666667	0.8126150328	0.770973929	0.4203502274	0.0005337113	0.0009337989	0.0073203709
12	chr6	55125921	55126440	55126075	44	Intergenic	MTD|LTR|MaLR	-1196	uc009can.1	Inmt	indolethylamine N-methyltransferase	28.46	22.93	48.23	19.77	20.56	11.86	0.79	3.95	12-Clock_n3R15	1	default	1	24	10.3904005824	7.3511230589	25.3016666667	0.4461711172	0.3230980322	0.4492060159	0.0700148567	0.0164110612	0.1286519523
13	chr5	93014891	93015381	93015125	26	intron (uc008ydn.2, intron 5 of 6)	intron (NM_001170572, intron 5 of 5)	14573	uc008ydn.2	Fam47e	hypothetical protein LOC384198 isoform 1	24.51	26.88	34	31.63	18.19	15.02	0	3.95	13-Clock_n3R15	1	default	1	24	8.443834816	8.2109006506	25.0383333333	0.8402483193	0.8047479458	0.2702387125	0.0002603182	0.0007061739	0.0055359403
14	chr8	79568741	79569090	79568915	40	intron (uc009mhl.1, intron 2 of 8)	intron (NM_001083906, intron 2 of 8)	142508	uc009mhl.1	Nr3c2	mineralocorticoid receptor	39.53	38.74	29.26	20.56	13.44	8.7	1.58	0.79	14-Clock_n3R15	0	default	1	24	11.6915190377	4.1499956124	25.0383333333	0.6429739596	0.5636348395	0.4717409788	0.0097084416	0.0043486145	0.0340902844
15	chr3	41368401	41368720	41368555	43	intron (uc008pcj.2, intron 1 of 10)	promoter-TSS (NM_001130186)	8904	uc008pcj.2	Phf17	protein Jade-1	30.05	30.05	44.28	28.46	7.91	6.33	0.79	0	15-Clock_n3R15	1	default	1	24	15.3212210247	6.8827815615	24.5133333333	0.7548927482	0.7004244701	0.5457655719	0.0017869102	0.0017210681	0.0134920449
16	chr5	73865701	73865971	73865865	50	Intergenic	Intergenic	-6458	uc008xsy.2	Dcun1d4	DCN1-like protein 4 isoform A	28.46	30.84	41.91	28.46	9.49	7.12	0.79	0.79	16-Clock_n3R15	1	default	1	24	14.4136151655	6.9445744125	24.38	0.795670922	0.7502644602	0.502898918	0.0007879266	0.0011174123	0.0087597792
17	chr7	104572261	104572641	104572495	35	Intergenic	Intergenic	-6431	uc009ije.1	Thrsp	thyroid hormone-inducible hepatic protein	33.21	33.21	33.21	17.4	15.02	12.65	1.58	3.95	17-Clock_n3R15	1	mle	1	24.7950310559	9.6750047342	3.9735602311	24.1166666667	0.7233084078	0.6618213874	0.3813187118	0.003083059	0.0022453783	0.0176022923
18	chr11	98635321	98635630	98635510	34	intron (uc007lhh.1, intron 1 of 7)	intron (NM_145434, intron 1 of 7)	1081	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	37.95	23.72	26.09	28.46	14.23	14.23	1.58	1.58	18-Clock_n3R15	0	default	1	24	4.7474466415	4.5523874767	24.1133333333	0.2008999995	0.0233222217	0.3427179502	0.3645063421	0.0552293904	0.4329621835
19	chr7	71062561	71063050	71062785	36	intron (uc009hfn.2, intron 1 of 1)	intron (NM_021366, intron 1 of 1)	20996	uc009hfn.2	Klf13	Krueppel-like factor 13	22.14	26.88	38.74	26.88	14.23	10.28	0	5.53	19-Clock_n3R15	0	burg	1	23.4823529412	11.6095148444	7.9563758891	23.1916666667	0.8571845534	0.8254477875	0.4002894788	0.000157213	0.0005643719	0.0044243058
20	chr14	69880961	69881281	69881155	30	intron (uc007ume.1, intron 1 of 3)	intron (NM_026331, intron 1 of 3)	22039	uc007ume.1	Slc25a37	mitoferrin-1	25.3	23.72	28.46	21.35	22.14	17.4	0.79	3.95	20-Clock_n3R15	1	burg	1	24.1939393939	3.1004777409	6.6552058392	23.0616666667	0.4717277019	0.3543338579	0.1485523357	0.0566057135	0.0140711482	0.1103085698
21	chr19	23210051	23210621	23210265	17	TTS (uc008gzy.1)	CpG	946	uc008gzy.1	AK019124	Mus musculus ES cells cDNA, RIKEN full-length enriched library, clone:2410071A13 product:hypothetical protein, full insert sequence.	28.46	26.88	34.79	24.51	7.91	12.65	2.37	0.79	21-Clock_n3R15	0	mle	1	24.7950310559	9.9699105962	5.5909416667	22.5333333333	0.6813315239	0.610516307	0.4130137247	0.0058213802	0.0031997495	0.0250839368
22	chr6	49992021	49992600	49992250	26	Intergenic	MTD|LTR|MaLR	-67930	uc009bwv.2	Mpp6	MAGUK p55 subfamily member 6 isoform a	27.67	22.14	32.42	28.46	12.65	11.86	0	6.33	22-Clock_n3R15	0	mle	1	24.7950310559	7.9198167948	6.9311018448	22.5333333333	0.5688807205	0.4730764361	0.3489738405	0.0226823737	0.0076131179	0.0596818494
23	chr5	136150701	136151140	136150845	34	Intergenic	Intergenic	-14164	uc008zyt.1	Por	NADPH--cytochrome P450 reductase	27.67	19.77	36.37	26.88	16.6	7.12	0	2.37	23-Clock_n3R15	0	mle	1	24.6419753086	9.4106583906	7.7259044506	22.4016666667	0.5606524813	0.4630196994	0.4143867864	0.0246965791	0.0080512485	0.0631165054
24	chr2	29478721	29479171	29479005	24	intron (uc008izu.1, intron 1 of 25)	intron (NM_054050, intron 1 of 23)	3706	uc008izu.1	Rapgef1	Rap guanine nucleotide exchange factor (GEF) 1	22.93	17.4	30.05	24.51	19.77	17.4	0	2.37	24-Clock_n3R15	0	burg	1	22.4269662921	4.0648598005	10.3119590072	22.01	0.4495934471	0.3272808798	0.202558919	0.0680888785	0.0161064521	0.1262640163
25	chr17	5893111	5893540	5893280	30	intron (uc008afj.1, intron 4 of 17)	intron (NM_025664, intron 4 of 17)	-47955	uc008afk.2	Synj2	synaptojanin-2 isoform a	18.98	20.56	28.46	26.09	14.23	18.19	0	3.95	25-Clock_n3R15	1	burg	1	22.8114285714	5.4935543217	8.9434552437	21.085	0.6797669768	0.6086040827	0.2287009621	0.0059511037	0.0032317172	0.0253345425
26	chr19	42119751	42120131	42119890	35	promoter-TSS (uc008hnb.1)	promoter-TSS (NM_026152)	-400	uc008hnb.1	Hoga1	probable 4-hydroxy-2-oxoglutarate aldolase,	28.46	22.93	32.42	15.02	17.4	10.28	0.79	1.58	26-Clock_n3R15	0	default	1	24	6.5289853106	5.5081972825	21.085	0.4279145568	0.3007844583	0.3639794661	0.0810166045	0.0181414309	0.1422169154
27	chr4	150059371	150059830	150059555	21	Intergenic	Intergenic	-33317	uc008vxt.1	Slc45a1	proton-associated sugar transporter A	26.09	21.35	26.88	23.72	12.65	15.81	2.37	4.74	27-Clock_n3R15	0	mle	1	25.4267515924	4.683313203	5.1528866689	21.0833333333	0.4765119554	0.3601812788	0.2484430419	0.054335098	0.013690871	0.1073274454
28	chr13	53070031	53070590	53070240	39	intron (uc007qni.1, intron 1 of 1)	intron (NM_017373, intron 1 of 1)	6098	uc007qni.1	Nfil3	nuclear factor interleukin-3-regulated protein	36.37	26.09	27.67	18.19	8.7	8.7	2.37	3.95	28-Clock_n3R15	0	default	1	24	9.1939593683	4.0947566736	20.9533333333	0.5313644507	0.4272232175	0.4840028812	0.0330185908	0.0096953341	0.0760050581
29	chr2	58607051	58607690	58607415	20	promoter-TSS (uc008jsw.1)	promoter-TSS (NM_029692)	-226	uc008jsw.1	Upp2	uridine phosphorylase 2	15.81	26.88	34.79	25.3	13.44	7.12	0.79	7.12	29-Clock_n3R15	1	default	1	24	12.3928367689	7.9967085315	20.5566666667	0.9434141809	0.9308395545	0.452344042	2.43884516915E-006	8.41843397114E-005	0.00065995
30	chr2	4917341	4917810	4917505	26	intron (uc008ifi.2, intron 14 of 19)	RCHARR1|DNA|MER1_type	16262	uc008ifi.2	Mcm10	protein MCM10 homolog	23.72	23.72	31.63	18.19	8.7	16.6	0	5.53	30-Clock_n3R15	1	burg	1	22.5536723164	7.9262697485	6.3623070544	20.4266666667	0.6537678268	0.5768273438	0.3486791955	0.0084557746	0.0039939435	0.0313098963
31	chr11	118126941	118127480	118127150	26	intron (uc011yim.1, intron 15 of 20)	ID_B1|SINE|B4	24348	uc011yim.1	Usp36	ubiquitin specific peptidase 36	24.51	23.72	30.05	24.51	6.33	13.44	0	5.53	31-Clock_n3R15	0	mle	1	23.4823529412	8.5223560166	6.617932165	20.4266666667	0.6351922657	0.5541238802	0.391813837	0.0106976447	0.0046517136	0.0364663828
32	chr3	146252381	146252980	146252645	25	intron (uc008rro.2, intron 3 of 6)	intron (NM_019957, intron 3 of 6)	-7433	uc008rrp.1	Uox	uricase	24.51	30.05	26.88	15.81	11.07	12.65	1.58	3.16	32-Clock_n3R15	1	burg	1	24.0481927711	8.5070707375	4.6874261203	20.1616666667	0.8268334666	0.7883520147	0.362131942	0.0003741863	0.0008195733	0.0064249166
33	chr3	78887011	78887271	78887145	30	exon (uc008pnm.1, exon 16 of 24)	exon (NM_001099624, exon 16 of 24)	62656	uc008pnm.1	Rapgef2	rap guanine nucleotide exchange factor 2	27.67	19.77	22.14	25.3	13.44	11.86	0	3.16	33-Clock_n3R15	0	default	1	24	3.6842715991	6.5533148778	20.03	0.2404397033	0.0716485263	0.2888468707	0.2900882577	0.0462277661	0.362395355
34	chr15	38498151	38498610	38498395	29	Intergenic	Intergenic	-49359	uc007vnt.1	Azin1	antizyme inhibitor 1	24.51	24.51	29.26	20.56	9.49	11.07	1.58	2.37	34-Clock_n3R15	0	mle	1	25.106918239	7.9908117536	5.3350815178	19.9	0.7375870771	0.6792730943	0.3651935502	0.0024290334	0.0020090519	0.0157496486
35	chr4	140410231	140410900	140410415	22	Intergenic	Intergenic	-8872	uc008vnh.1	Padi1	protein-arginine deiminase type-1	22.93	19.77	30.84	22.93	13.44	9.49	0.79	5.53	35-Clock_n3R15	0	burg	1	24.3414634146	7.5731669334	7.4483037331	19.9	0.6649532514	0.5904984184	0.3482488198	0.007294144	0.003653879	0.0286440137
36	chr19	46742651	46743210	46742810	39	intron (uc008hua.2, intron 6 of 7)	intron (NM_007809, intron 6 of 7)	4560	uc008hua.2	Cyp17a1	steroid 17-alpha-hydroxylase/17,20 lyase	42.7	18.98	22.14	17.4	9.49	6.33	1.58	11.07	36-Clock_n3R15	0	default	1	24	7.5236566483	2.5764304192	19.5066666667	0.2565887273	0.0913862223	0.6005972331	0.2633486765	0.0429385422	0.3366099984
37	chr16	4896661	4897130	4896855	30	intron (uc007yap.1, intron 1 of 16)	intron (NM_029657, intron 1 of 16)	10643	uc007yap.1	Mgrn1	E3 ubiquitin-protein ligase MGRN1	26.88	15.02	35.58	20.56	8.7	9.49	0.79	7.12	37-Clock_n3R15	1	default	1	24	8.1491483137	6.9635751674	19.3716666667	0.3985848453	0.2649370332	0.4946748377	0.101457616	0.0212087668	0.1662628165
38	chr18	61517251	61517750	61517435	22	intron (uc008fbx.1, intron 1 of 11)	L3|LINE|CR1	42585	uc008fbx.1	Ppargc1b	peroxisome proliferator-activated receptor gamma	18.98	22.14	24.51	24.51	11.86	13.44	0.79	1.58	38-Clock_n3R15	0	burg	1	23.4823529412	5.9328223322	7.8560579361	19.24	0.7584790846	0.70480777	0.2617119778	0.0016722313	0.0016875726	0.0132294616
39	chr1	174240131	174240530	174240375	27	Intergenic	Intergenic	-2208	uc007dqe.1	Igsf8	immunoglobulin superfamily member 8	16.6	22.93	22.93	29.26	11.86	11.07	0.79	3.16	39-Clock_n3R15	1	default	1	24	7.6097977264	8.5639639374	19.1083333333	0.7081808204	0.6433321138	0.3416462687	0.0039175292	0.0025264262	0.019805524
40	chr4	128623971	128624330	128624085	34	intron (uc008uvq.1, intron 8 of 10)	intron (NM_172875, intron 8 of 10)	15511	uc008uvq.1	Adc	antizyme inhibitor 2	26.88	26.88	39.53	13.44	2.37	5.53	0	1.58	40-Clock_n3R15	1	yule-walker	1	23.3450292398	14.6293430573	6.0308058408	19.105	0.7087830716	0.6440681987	0.68729901	0.0038812782	0.0025112635	0.0196866585
41	chr1	93355841	93356161	93356035	20	promoter-TSS (uc007cav.1)	promoter-TSS (NM_011066)	-96	uc007cav.1	Per2	period circadian protein homolog 2	21.35	18.98	23.72	18.98	10.28	19.77	3.16	0.79	41-Clock_n3R15	1	yule-walker	1	21.6956521739	3.6706512631	6.3589724297	18.8466666667	0.3741615341	0.2350863195	0.221215312	0.1213612768	0.0241001172	0.1889291065
42	chr18	84545841	84546300	84545985	26	intron (uc008fuo.2, intron 4 of 8)	intron (NM_001033341, intron 4 of 8)	212826	uc008fuo.2	Zfp407	zinc finger protein 407	29.26	20.56	27.67	18.19	7.12	10.28	0.79	2.37	42-Clock_n3R15	0	yule-walker	1	27.7222222222	7.256754838	2.0932724798	18.8466666667	0.5285389328	0.4237698067	0.4335333326	0.0339239377	0.00985838	0.0772832311
43	chr10	95085751	95086220	95086015	31	Intergenic	Intergenic	-59184	uc007gwp.2	Nudt4	diphosphoinositol polyphosphate phosphohydrolase	30.05	24.51	27.67	15.81	8.7	6.33	0.79	1.58	43-Clock_n3R15	0	default	1	24	8.9498751231	4.8825785725	18.845	0.6104644535	0.5239009987	0.4864801418	0.0143701707	0.0056067949	0.0439535935
44	chr19	23564161	23564581	23564460	26	Intergenic	Zaphod|DNA|Tip100	-41559	uc008hac.1	Mamdc2	MAM domain-containing protein 2 precursor	26.88	15.81	27.67	18.98	10.28	13.44	2.37	5.53	44-Clock_n3R15	0	burg	1	27.3424657534	4.5433548785	2.9172721735	18.8433333333	0.2980032325	0.1420039509	0.345455774	0.2034735702	0.0353390281	0.2770347934
45	chr8	126789671	126790230	126790005	20	intron (uc009nwz.1, intron 1 of 15)	intron (NM_139272, intron 1 of 15)	34656	uc009nwz.1	Galnt2	polypeptide N-acetylgalactosaminyltransferase 2	21.35	18.98	29.26	18.98	9.49	12.65	0.79	2.37	45-Clock_n3R15	1	default	1	24	6.6100220262	6.5636390942	18.4516666667	0.606570812	0.5191421036	0.3425844248	0.0150279449	0.005774637	0.0452693649
46	chr9	42280231	42280531	42280375	36	promoter-TSS (uc009pay.1)	promoter-TSS (NM_173038)	-72	uc009pay.1	Tbcel	tubulin-specific chaperone cofactor E-like	33.21	30.05	27.67	6.33	3.95	9.49	1.58	0.79	46-Clock_n3R15	1	yule-walker	1	23.6213017751	13.4787456466	3.5903005921	18.45	0.7557683051	0.7014945952	0.6544783712	0.0017583653	0.0017074796	0.0133855198
47	chr18	68221771	68222150	68221955	21	intron (uc008fng.1, intron 1 of 5)	intron (NM_172631, intron 1 of 5)	129049	uc008fng.1	D18Ertd653e	hypothetical protein LOC52662	22.93	21.35	26.09	15.81	11.07	11.86	0.79	3.16	47-Clock_n3R15	0	mle	1	24.6419753086	5.9261304243	4.9060225304	18.185	0.6794018923	0.6081578683	0.3104974618	0.0059816954	0.0032423751	0.0254180935
48	chr4	57125071	57125530	57125285	24	intron (uc008sxz.2, intron 1 of 15)	intron (NM_019427, intron 1 of 15)	30728	uc008sxz.2	Epb4.1l4b	band 4.1-like protein 4B	31.63	18.19	26.88	11.07	8.7	11.86	2.37	3.95	48-Clock_n3R15	0	burg	1	27.9160839161	7.2204469063	27.8793031554	18.055	0.4664504683	0.3478839056	0.4726067137	0.0591951798	0.0145436684	0.1140128182
49	chr7	52961331	52961720	52961455	30	intron (uc009gws.2, intron 1 of 3)	intron (NM_016974, intron 1 of 3)	908	uc009gws.2	Dbp	D site-binding protein	8.7	18.19	34.79	26.88	14.23	5.53	0.79	3.16	49-Clock_n3R15	1	mle	1	23.6213017751	13.8366313299	9.4475794891	18.0533333333	0.9536819112	0.9433890026	0.5616981406	9.90553273961E-007	4.88157878989E-005	0.0003826837
50	chr11	98634931	98635311	98635195	24	intron (uc007lhh.1, intron 1 of 7)	CpG	1435	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	27.67	15.81	18.19	26.09	4.74	15.02	3.16	0.79	50-Clock_n3R15	0	mle	1	25.9220779221	3.5093949689	2.7818328272	17.92	0.1243648316	-0.0702207613	0.4252673959	0.5501161332	0.0774953527	0.6075127188
51	chr14	70026971	70027270	70027160	26	intron (uc007umo.2, intron 1 of 13)	intron (NM_033325, intron 1 of 13)	12963	uc007uml.1	AK086749	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930513O14 product:mitochondrial solute carrier protein, full insert sequence.	24.51	21.35	22.14	15.02	11.86	11.86	1.58	7.12	51-Clock_n3R15	1	mle	1	26.972972973	4.9623503198	1.9136866326	17.79	0.674910787	0.6026687397	0.2854787973	0.0063681241	0.0033714914	0.0264302804
52	chr1	193269281	193269661	193269495	19	Intergenic	ORR1D2|LTR|MaLR	-48551	uc007eci.1	Ppp2r5a	serine/threonine-protein phosphatase 2A 56 kDa	22.14	16.6	26.09	22.93	7.91	11.07	0	5.53	52-Clock_n3R15	1	default	1	24	6.1253683715	7.2111249413	17.79	0.482247873	0.3671918447	0.3689031198	0.0517069014	0.0132602869	0.1039519492
53	chr19	26839821	26840171	26840055	23	intron (uc008hbn.1, intron 28 of 32)	intron (NM_026003, intron 4 of 8)	-120419	uc008hbs.1	Gm815	hypothetical protein LOC329047	22.93	19.77	23.72	22.93	7.12	9.49	0	2.37	53-Clock_n3R15	0	default	1	24	6.5538029984	6.5875710687	17.66	0.5475826037	0.4470454046	0.3830486097	0.0281790814	0.0087770062	0.0688059702
54	chr4	141297801	141298260	141298035	16	Intergenic	Intergenic	-4560	uc008vpe.1	Agmat	agmatinase, mitochondrial precursor	15.81	23.72	22.93	15.81	16.6	11.07	0.79	3.95	54-Clock_n3R15	1	mle	1	24.3414634146	4.9797584446	6.7291559807	17.6566666667	0.6995719188	0.632810123	0.2489112404	0.004465112	0.0027477213	0.0215403322
55	chr16	4702691	4703000	4702895	31	intron (uc007yac.2, intron 10 of 11)	(CAGGA)n|Simple_repeat|Simple_repeat	16214	uc007yae.1	Nmral1	nmrA-like family domain-containing protein 1	30.05	19.77	19.77	15.81	7.12	12.65	0.79	2.37	55-Clock_n3R15	1	mle	1	26.4370860927	6.4410598418	0.674581831	17.5283333333	0.5454888165	0.4444863313	0.4047010727	0.0287707102	0.0088893982	0.0696870493
56	chr6	146219651	146220170	146219825	24	intron (uc009erw.1, intron 37 of 56)	intron (NM_019923, intron 37 of 56)	230524	uc009erw.1	Itpr2	inositol 1,4,5-trisphosphate receptor type 2	17.4	18.98	37.16	16.6	7.12	7.12	0	1.58	56-Clock_n3R15	0	burg	1	23.3450292398	11.3996696812	7.5434397023	17.3966666667	0.6916331136	0.6231071389	0.5771893863	0.0050211687	0.0029341885	0.0230021126
57	chr15	58830621	58831061	58830995	18	intron (uc007vty.2, intron 3 of 14)	intron (NM_144800, intron 3 of 14)	65476	uc007vtw.1	Ndufb9	NADH dehydrogenase [ubiquinone] 1 beta	13.44	16.6	30.84	22.93	10.28	9.49	0	3.16	57-Clock_n3R15	0	burg	1	23.0751445087	9.4292650236	9.0469073141	17.2633333333	0.8246495155	0.7856827411	0.4364929183	0.0003958962	0.0008349317	0.0065453164
58	chr7	52962911	52963280	52963155	18	intron (uc009gws.2, intron 2 of 3)	intron (NM_016974, intron 2 of 3)	2478	uc009gws.2	Dbp	D site-binding protein	15.81	22.14	25.3	22.14	7.12	9.49	1.58	1.58	58-Clock_n3R15	0	burg	1	23.2093023256	8.4079701978	7.7121009107	17	0.8348152086	0.7981074772	0.3997979594	0.0003025975	0.0007471005	0.0058567775
59	chr4	124370851	124371180	124371050	28	promoter-TSS (uc008uqu.1)	promoter-TSS (NM_026031)	-217	uc008uqu.1	Utp11l	probable U3 small nucleolar RNA-associated	26.09	17.4	21.35	19.77	8.7	7.91	1.58	1.58	59-Clock_n3R15	0	default	1	24	4.9789150956	5.625449521	16.87	0.3514009911	0.207267878	0.3908078263	0.1425257265	0.0270037399	0.2116916034
60	chr8	96911371	96911610	96911490	29	intron (uc009mwg.1, intron 1 of 7)	intron (NM_022331, intron 1 of 7)	1090	uc009mwg.1	Herpud1	homocysteine-responsive endoplasmic	23.72	22.93	18.19	16.6	12.65	7.12	0	0	60-Clock_n3R15	0	default	1	24	4.9763283928	4.8830891692	16.8683333333	0.4895827964	0.3761567511	0.3408387047	0.0484913045	0.0126775397	0.0993835931
61	chr7	6362751	6363090	6362935	26	Intergenic	Intergenic	-4966	uc009fbk.1	Gm16532	hypothetical protein LOC100042450	20.56	17.4	23.72	18.98	7.12	11.86	0	2.37	61-Clock_n3R15	1	default	1	24	5.4411475083	6.2034488516	16.6066666667	0.5443888502	0.4431419281	0.334386745	0.0290853669	0.0089399109	0.0700830358
62	chr5	113581991	113582471	113582315	21	intron (uc008yua.2, intron 1 of 7)	intron (NM_172884, intron 1 of 7)	10102	uc008yua.2	2900026A02Rik	hypothetical protein LOC243219	24.51	21.35	22.14	12.65	7.12	11.86	0.79	1.58	62-Clock_n3R15	1	default	1	24	6.834164824	3.7448853984	16.605	0.7106252812	0.6463197882	0.3838565778	0.0037720083	0.0024895147	0.0195161619
63	chr1	67163121	67163480	67163305	27	Intergenic	Intergenic	-6340	uc007biy.1	Cps1	carbamoyl-phosphate synthase [ammonia],	26.09	9.49	26.88	24.51	6.33	6.33	0	5.53	63-Clock_n3R15	0	mle	1	25.106918239	6.4236447211	7.1393900152	16.605	0.2532367446	0.0872893545	0.5605385034	0.2687343804	0.043552499	0.3414230165
64	chr3	101609301	101609661	101609515	32	Intergenic	Intergenic	30665	uc008qrk.2	BC037703	hypothetical protein LOC242125	15.02	13.44	28.46	27.67	7.12	6.33	0	3.16	64-Clock_n3R15	0	burg	1	23.6213017751	10.3656478202	9.1703601497	16.34	0.7170418892	0.654162309	0.5420126845	0.003409963	0.0023640918	0.0185329289
