ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Per2_CT0/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT4/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT8/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT12/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT16/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT20/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_KO/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per_Input/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
11	chr7	52960051	52960661	52960275	57	promoter-TSS (uc009gws.2)	promoter-TSS (NM_016974)	-261	uc009gws.2	Dbp	D site-binding protein	19.15	7.05	17.13	55.42	137.04	90.69	18.14	10.08	11-Per2_n3R16	0	mle	1	23.9041916168	51.9017181492	16.8195755139	54.4133333333	0.7407776794	0.6831727193	0.856133311	0.0022989301	4.03402894568E-005	0.0072848514
12	chr1	75314071	75314600	75314355	83	promoter-TSS (uc011wnp.1)	promoter-TSS (NM_016878)	-123	uc011wnp.1	Dnpep	aspartyl aminopeptidase isoform a	30.23	6.05	12.09	49.38	135.03	78.6	4.03	5.04	12-Per2_n3R16	0	burg	1	23.7619047619	50.2720245135	17.102036798	51.8966666667	0.7331675102	0.6738714013	0.8540377346	0.0026186303	4.26033571984E-005	0.0076935275
13	chr7	28266421	28267030	28266660	61	Intergenic	Intergenic	-5247	uc009fwh.1	Sertad1	SERTA domain-containing protein 1	33.25	7.05	12.09	45.35	112.86	78.6	5.04	11.08	13-Per2_n3R16	0	burg	1	23.4823529412	43.8300027624	17.4908216036	48.2	0.7883210713	0.7412813093	0.7732197123	0.0009237391	3.06268158647E-005	0.0055307437
14	chr17	29182931	29183490	29183280	67	Intergenic	Intergenic	13605	uc008bsd.2	Srsf3	serine/arginine-rich splicing factor 3	24.18	6.05	7.05	66.51	110.84	72.55	8.06	7.05	14-Per2_n3R16	1	burg	1	23.0751445087	46.07349214	16.7695630255	47.8633333333	0.804352632	0.7608754392	0.804584885	0.0006480866	2.9775126187E-005	0.0053769413
15	chr9	119841511	119841940	119841705	67	intron (uc009sbq.1, intron 3 of 8)	intron (NM_028976, intron 3 of 8)	4951	uc009sbq.1	Gorasp1	Golgi reassembly-stacking protein 1	27.21	11.08	8.06	60.46	99.76	78.6	8.06	8.06	15-Per2_n3R16	0	burg	1	23.2093023256	41.0280366855	17.1683268908	47.5283333333	0.8126899352	0.7710654764	0.7268167354	0.0005327519	2.9775126187E-005	0.0053769413
16	chr7	52075281	52075800	52075615	70	intron (uc009gqw.2, intron 1 of 1)	intron (NM_001171024, intron 1 of 8)	3800	uc009gqw.2	Nup62	nuclear pore glycoprotein p62	25.19	8.06	8.06	56.43	95.73	87.67	9.07	27.21	16-Per2_n3R16	0	burg	1	23.4823529412	41.7426383825	17.3904243733	46.8566666667	0.8173175339	0.7767214303	0.7608434609	0.0004760317	2.9775126187E-005	0.0053769413
17	chr3	95685971	95686531	95686235	62	promoter-TSS (uc008qlm.1)	promoter-TSS (NM_001033302)	-100	uc008qlm.1	Gm129	hypothetical protein LOC229599	14.11	8.06	20.15	67.51	122.94	40.31	6.05	8.06	17-Per2_n3R16	0	burg	1	23.2093023256	45.6893713269	15.4645060357	45.5133333333	0.7033353042	0.6374098162	0.8760224396	0.0042188725	5.59241484704E-005	0.0100990627
18	chr19	6996211	6996781	6996435	39	promoter-TSS (uc008gjg.1)	promoter-TSS (NM_007953)	-198	uc008gjg.1	Esrra	steroid hormone receptor ERR1	41.31	17.13	13.1	37.28	98.75	63.48	9.07	14.11	18-Per2_n3R16	0	burg	1	23.2093023256	34.2865691183	17.9392481785	45.175	0.7497478107	0.6941362131	0.6452440713	0.0019620067	3.78272256153E-005	0.0068310298
19	chr8	129137921	129138470	129138165	50	Intergenic	Intergenic	-20859	uc009nyw.2	Irf2bp2	interferon regulatory factor 2 binding protein	42.32	18.14	14.11	33.25	75.58	85.65	20.15	31.24	19-Per2_n3R16	1	default	1	24	33.321825893	18.9529537626	44.8416666667	0.8706420384	0.8418958248	0.604475148	0.0001007092	2.9775126187E-005	0.0053769413
20	chr11	98644661	98645150	98644800	52	Intergenic	Intergenic	-8349	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	19.15	15.12	14.11	62.48	86.66	66.51	6.05	8.06	20-Per2_n3R16	0	default	1	24	32.9158972039	16.3041595068	44.005	0.7851733379	0.7374340797	0.6568624689	0.0009871811	3.09431385895E-005	0.0055878669
21	chr1	74443571	74444160	74443795	50	TTS (uc007blz.2)	TTS (NM_153088)	2981	uc007bma.2	Mir26b	Mus musculus microRNA 26b (Mir26b), microRNA.	31.24	13.1	14.11	56.43	73.56	74.57	6.05	12.09	21-Per2_n3R16	0	mle	1	23.7619047619	30.1920984782	17.3514134594	43.835	0.8220245518	0.7824744522	0.5870848704	0.0004232729	2.9775126187E-005	0.0053769413
22	chr19	23564191	23564691	23564445	58	Intergenic	Zaphod|DNA|Tip100	-41629	uc008hac.1	Mamdc2	MAM domain-containing protein 2 precursor	24.18	10.08	11.08	65.5	85.65	63.48	12.09	23.18	22-Per2_n3R16	0	burg	1	23.2093023256	35.1629031112	16.5349833015	43.3283333333	0.8099450923	0.7677106684	0.6795008843	0.0005687952	2.9775126187E-005	0.0053769413
23	chr1	176837771	176838420	176837995	59	intron (uc007dtf.1, intron 1 of 1)	intron (NM_011825, intron 1 of 1)	13855	uc007dtf.1	Grem2	gremlin-2 precursor	24.18	8.06	16.12	49.38	94.72	66.51	9.07	20.15	23-Per2_n3R16	1	burg	1	23.6213017751	35.5733274427	16.8679912533	43.1616666667	0.7979404189	0.7530382898	0.70564825	0.0007493031	2.98587022555E-005	0.0053920339
24	chr11	101240011	101240711	101240475	33	Intergenic	Intergenic	11317	uc007lor.1	G6pc	glucose-6-phosphatase	31.24	12.09	14.11	52.4	86.66	59.45	15.12	29.22	24-Per2_n3R16	0	mle	1	23.4823529412	31.6988914031	16.9563747722	42.6583333333	0.8120558087	0.7702904329	0.6196883999	0.0005409163	2.9775126187E-005	0.0053769413
25	chr2	119180811	119181280	119181015	69	TTS (uc008lts.2)	TTS (NM_026929)	4067	uc008lts.2	Chac1	cation transport regulator-like protein 1	22.17	5.04	14.11	54.41	97.74	62.48	5.04	16.12	25-Per2_n3R16	1	burg	1	23.0751445087	38.3809667458	16.6834372811	42.6583333333	0.8016826377	0.7576121128	0.7544628386	0.0006888479	2.9775126187E-005	0.0053769413
26	chr7	35019011	35019600	35019245	64	promoter-TSS (uc009giy.1)	CpG	-91	uc009giy.1	AK087850	Mus musculus 2 days pregnant adult female ovary cDNA, RIKEN full-length enriched library, clone:E330029N23 product:unclassifiable, full insert sequence.	23.18	10.08	7.05	44.34	101.77	67.51	6.05	7.05	26-Per2_n3R16	0	burg	1	23.2093023256	39.1729031273	17.2813370806	42.3216666667	0.7643022426	0.7119249632	0.7967794595	0.0014983026	3.45036123316E-005	0.006230835
27	chr5	122765001	122765370	122765195	64	intron (uc008zky.1, intron 3 of 5)	intron (NM_177242, intron 3 of 5)	30778	uc008zky.1	Pptc7	protein phosphatase PTC7 homolog	21.16	8.06	12.09	61.47	99.76	50.38	6.05	7.05	27-Per2_n3R16	0	burg	1	22.9425287356	38.600224294	16.2384781116	42.1533333333	0.7721583715	0.7215268985	0.7666466481	0.0012863195	3.28360558612E-005	0.0059296993
28	chr7	4102341	4102830	4102585	62	TTS (uc009exe.1)	TTS (NM_021454)	-1111	uc009exd.1	Leng9	leukocyte receptor cluster member 9	23.18	5.04	7.05	39.3	98.75	61.47	8.06	30.23	28-Per2_n3R16	1	burg	1	22.9425287356	38.5908317816	17.3212355545	39.1316666667	0.7621645949	0.7093122827	0.8410649172	0.0015604299	3.47420543082E-005	0.0062738941
29	chr7	28271701	28272270	28271925	54	promoter-TSS (uc009fwh.1)	promoter-TSS (NM_018820)	13	uc009fwh.1	Sertad1	SERTA domain-containing protein 1	24.18	6.05	11.08	65.5	86.66	40.31	5.04	3.02	29-Per2_n3R16	0	burg	1	22.4269662921	35.6821269802	16.0896651725	38.9633333333	0.7780132666	0.7286828813	0.7453430151	0.00114412	3.18808629132E-005	0.0057572058
30	chr5	149600731	149601241	149601045	49	Intergenic	Intergenic	47570	uc012ehd.1	2210417A02Rik	Mus musculus adult male stomach cDNA, RIKEN full-length enriched library, clone:2210417A02 product:unclassifiable, full insert sequence.	23.18	4.03	11.08	46.35	74.57	72.55	6.05	25.19	30-Per2_n3R16	1	burg	1	24.6419753086	32.1932540815	17.2321785386	38.6266666667	0.8279128039	0.7896712048	0.7243261586	0.0003638049	2.9775126187E-005	0.0053769413
31	chr5	53587541	53588260	53587915	44	intron (uc008xlc.1, intron 2 of 23)	intron (NM_172710, intron 2 of 23)	16791	uc008xlc.1	Sel1l3	protein sel-1 homolog 3	17.13	5.04	8.06	55.42	90.69	53.41	11.08	16.12	31-Per2_n3R16	0	mle	1	23.6213017751	36.2820133625	16.3121830106	38.2916666667	0.7890532011	0.7421761347	0.8073944631	0.0009094487	3.06104140709E-005	0.0055277818
32	chr4	141346531	141346990	141346755	48	promoter-TSS (uc008vpf.1)	promoter-TSS (NM_172338)	-201	uc008vpf.1	Dnajc16	dnaJ homolog subfamily C member 16 precursor	26.2	12.09	12.09	32.25	77.59	68.52	7.05	12.09	32-Per2_n3R16	0	default	1	24	30.0157115392	17.9321036128	38.1233333333	0.8014498778	0.7573276284	0.6784319364	0.0006924935	2.98040529402E-005	0.0053821651
33	chr1	193007041	193007740	193007475	55	promoter-TSS (uc007ece.1)	promoter-TSS (NM_007498)	-178	uc007ece.1	Atf3	cyclic AMP-dependent transcription factor ATF-3	17.13	6.05	9.07	37.28	97.74	60.46	7.05	16.12	33-Per2_n3R16	1	burg	1	23.6213017751	36.7406628745	17.0295601982	37.955	0.7343537274	0.6753212224	0.8582765149	0.0025666507	4.21813152558E-005	0.0076173131
34	chr16	95903941	95904590	95904245	44	Intergenic	Intergenic	-19749	uc008ace.2	Ets2	protein C-ets-2	21.16	12.09	14.11	40.31	76.58	63.48	8.06	28.21	34-Per2_n3R16	1	mle	1	24.490797546	27.9431982094	17.1188521563	37.955	0.7911672748	0.7447600026	0.6514881782	0.0008691475	3.06104140709E-005	0.0055277818
35	chr3	79371681	79372101	79371915	49	promoter-TSS (uc012cqp.1)	promoter-TSS (NM_001162999)	-290	uc012cqp.1	Fnip2	folliculin-interacting protein 2	18.14	7.05	6.05	49.38	82.63	63.48	3.02	4.03	35-Per2_n3R16	0	burg	1	23.3450292398	34.4220821353	16.9823594636	37.7883333333	0.8057996998	0.7626440776	0.774805951	0.0006267936	2.9775126187E-005	0.0053769413
36	chr7	29762581	29762990	29762825	42	intron (uc009gai.1, intron 3 of 7)	intron (NM_028659, intron 3 of 7)	4048	uc009gai.1	Eif3k	eukaryotic translation initiation factor 3	20.15	9.07	7.05	65.5	68.52	55.42	5.04	8.06	36-Per2_n3R16	0	burg	1	23.6213017751	30.0954026447	16.2037072672	37.6183333333	0.7600522162	0.7067304864	0.6952107398	0.0016237731	3.54112569378E-005	0.006394742
37	chr5	149806681	149807140	149806850	52	promoter-TSS (uc009aoz.1)	Intergenic	-119	uc009aoz.1	AK036974	Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930430L01 product:unclassifiable, full insert sequence.	20.15	12.09	9.07	40.31	75.58	61.47	12.09	11.08	37-Per2_n3R16	0	default	1	24	28.8109384951	17.2564301691	36.445	0.7932150056	0.7472627846	0.6887783126	0.000831449	3.0436277678E-005	0.0054963354
38	chr7	139811991	139812530	139812175	47	intron (uc009kce.1, intron 1 of 6)	intron (NM_029609, intron 1 of 6)	9934	uc009kce.1	Lhpp	phospholysine phosphohistidine inorganic	31.24	12.09	6.05	27.21	58.45	81.62	2.02	7.05	38-Per2_n3R16	0	burg	1	24.490797546	31.6839087344	19.0856150761	36.11	0.8440416824	0.8093842785	0.7286447502	0.0002336353	2.9775126187E-005	0.0053769413
39	chr11	98634891	98635670	98635205	28	intron (uc007lhh.1, intron 1 of 7)	CpG	1276	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	20.15	9.07	11.08	38.29	78.6	59.45	12.09	9.07	39-Per2_n3R16	0	default	1	24	29.5342101986	17.1457387083	36.1066666667	0.7896572002	0.7429143558	0.7121706454	0.0008977893	3.06104140709E-005	0.0055277818
40	chr9	107489851	107490381	107490000	47	promoter-TSS (uc009rmd.1)	promoter-TSS (NM_025903)	67	uc009rmd.1	Ifrd2	interferon-related developmental regulator 2	24.18	2.02	7.05	40.31	92.71	48.37	7.05	11.08	40-Per2_n3R16	0	burg	1	23.0751445087	35.8539067065	16.9861294197	35.7733333333	0.7566045192	0.7025166346	0.8478621062	0.0017314354	3.63416363135E-005	0.0065627546
41	chr4	141421451	141421880	141421655	45	intron (uc008vpl.1, intron 1 of 3)	intron (NM_025994, intron 1 of 3)	9170	uc008vpl.1	Efhd2	EF-hand domain-containing protein D2	20.15	5.04	4.03	41.31	73.56	70.54	12.09	20.15	41-Per2_n3R16	1	yule-walker	1	23.6213017751	33.3952990038	17.596086825	35.7716666667	0.8236981826	0.7845200009	0.795899947	0.0004056538	2.9775126187E-005	0.0053769413
42	chr5	90989661	90990210	90989975	42	Intergenic	Intergenic	41960	uc008ybc.1	Afm	afamin precursor	28.21	6.05	12.09	42.32	71.54	49.38	18.14	29.22	42-Per2_n3R16	0	mle	1	22.9425287356	27.5373368689	17.1441267914	34.9316666667	0.8292719616	0.7913323976	0.6406153208	0.0003510523	2.9775126187E-005	0.0053769413
43	chr15	58875311	58875920	58875530	40	intron (uc007vty.2, intron 3 of 14)	intron (NM_144800, intron 3 of 14)	37966	uc007vty.2	Mtss1	metastasis suppressor protein 1 isoform 1	35.27	14.11	14.11	31.24	49.38	62.48	10.08	25.19	43-Per2_n3R16	0	mle	1	24.1939393939	21.6872196318	18.9439376973	34.4316666667	0.8751432839	0.8473973469	0.5095640444	8.58723973689E-005	2.9775126187E-005	0.0053769413
44	chr9	50315551	50316110	50315770	44	Intergenic	Intergenic	13200	uc009pjo.1	1600029D21Rik	placenta-expressed transcript 1 protein	21.16	5.04	10.08	39.3	75.58	51.39	10.08	24.18	44-Per2_n3R16	0	mle	1	23.4823529412	29.2042485562	16.990285434	33.7583333333	0.806776439	0.7638378699	0.7290903469	0.0006127317	2.9775126187E-005	0.0053769413
45	chr10	126792391	126792791	126792525	51	TTS (uc007hjj.2)	TTS (NM_010565)	-3763	uc011xps.1	Inhbe	inhibin beta E chain precursor	29.22	8.06	7.05	40.31	70.54	47.36	14.11	19.15	45-Per2_n3R16	0	burg	1	22.4269662921	27.5758112819	17.4731883492	33.7566666667	0.8138800597	0.7725200729	0.659659361	0.000517688	2.9775126187E-005	0.0053769413
46	chr2	29478771	29479191	29478990	49	intron (uc008izu.1, intron 1 of 25)	intron (NM_054050, intron 1 of 23)	3741	uc008izu.1	Rapgef1	Rap guanine nucleotide exchange factor (GEF) 1	26.2	9.07	10.08	32.25	67.51	56.43	4.03	14.11	46-Per2_n3R16	0	mle	1	23.7619047619	26.2029098273	17.7914203243	33.59	0.8319614017	0.7946194909	0.6525380246	0.0003268442	2.9775126187E-005	0.0053769413
47	chr17	31925261	31925730	31925495	57	Intergenic	Intergenic	67242	uc008bvr.1	Sik1	serine/threonine-protein kinase SIK1	18.14	5.04	7.05	41.31	81.62	48.37	5.04	9.07	47-Per2_n3R16	0	burg	1	23.2093023256	31.7445929908	16.816639653	33.5883333333	0.7782789167	0.7290075648	0.8010065161	0.0011379717	3.18808629132E-005	0.0057572058
48	chr4	82970111	82970630	82970275	67	promoter-TSS (uc008tkq.1)	promoter-TSS (NM_027238)	-277	uc008tkq.1	Ttc39b	tetratricopeptide repeat protein 39B	22.17	2.02	4.03	36.28	84.64	51.39	3.02	2.02	48-Per2_n3R16	0	burg	1	23.2093023256	34.0946879405	17.2469293314	33.4216666667	0.7848648036	0.7370569822	0.8577458816	0.0009935772	3.09903264132E-005	0.0055963883
49	chr16	93325141	93325570	93325295	55	Intergenic	Intergenic	28079	uc007zzm.1	AK007854	Mus musculus 10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810053B23 product:unclassifiable, full insert sequence.	29.22	14.11	7.05	29.22	50.38	70.54	4.03	19.15	49-Per2_n3R16	0	burg	1	24.1939393939	25.7014524704	19.02785199	33.42	0.8356625911	0.7991431669	0.642813247	0.0002956746	2.9775126187E-005	0.0053769413
50	chr14	69881031	69881371	69881195	41	intron (uc007ume.1, intron 1 of 3)	intron (NM_026331, intron 1 of 3)	21959	uc007ume.1	Slc25a37	mitoferrin-1	23.18	13.1	15.12	41.31	46.35	58.45	13.1	38.29	50-Per2_n3R16	0	burg	1	24.7950310559	18.4276042051	17.4409817592	32.9183333333	0.7529542566	0.6980552025	0.5124048173	0.0018513912	3.70945488776E-005	0.0066987193
51	chr11	60351001	60351331	60351135	65	promoter-TSS (uc007jgd.2)	promoter-TSS (NM_172943)	-19	uc007jgd.2	Alkbh5	probable alpha-ketoglutarate-dependent	22.17	4.03	6.05	41.31	74.57	47.36	6.05	15.12	51-Per2_n3R16	0	mle	1	23.3450292398	29.8007113603	16.9653049876	32.5816666667	0.8080196277	0.7653573228	0.760637364	0.0005951901	2.9775126187E-005	0.0053769413
52	chr9	21796651	21797010	21796805	43	intron (uc012gpk.1, intron 8 of 12)	RSINE1|SINE|B4	-2933	uc009onf.1	Rgl3	ral guanine nucleotide dissociation	22.17	7.05	6.05	50.38	62.48	45.35	5.04	10.08	52-Per2_n3R16	0	burg	1	23.0751445087	26.2624624577	16.6750933182	32.2466666667	0.8025601334	0.7586846075	0.6743541785	0.0006752379	2.9775126187E-005	0.0053769413
53	chr1	135272401	135272930	135272645	35	intron (uc007cqh.2, intron 5 of 7)	intron (NM_175443, intron 5 of 7)	12516	uc007cqh.2	Etnk2	ethanolamine kinase 2	25.19	18.14	9.07	33.25	64.49	43.33	12.09	13.1	53-Per2_n3R16	0	burg	1	22.9425287356	21.0194423181	17.6046110584	32.245	0.7391371531	0.6811676316	0.5590054388	0.0023651301	4.07580845369E-005	0.0073602989
54	chr16	23337401	23337820	23337655	51	intron (uc007yto.1, intron 5 of 7)	intron (NM_145933, intron 5 of 7)	-91596	uc007ytq.1	Rtp1	receptor-transporting protein 1	25.19	11.08	10.08	19.15	56.43	70.54	10.08	14.11	54-Per2_n3R16	0	burg	1	24.1939393939	27.0569375937	19.005409268	32.0783333333	0.8048244279	0.7614520785	0.7212461676	0.0006410835	2.9775126187E-005	0.0053769413
55	chr11	120120981	120121561	120121355	55	intron (uc011yiy.1, intron 3 of 27)	intron (NM_198423, intron 3 of 27)	27010	uc011yiy.1	Bahcc1	BAH and coiled-coil domain-containing protein 1	11.08	6.05	11.08	50.38	82.63	31.24	4.03	9.07	55-Per2_n3R16	0	burg	1	23.0751445087	31.8946356833	15.6403916819	32.0766666667	0.7351493585	0.6762936603	0.8490583604	0.0025322386	4.19820665638E-005	0.0075813317
56	chr7	36372731	36373170	36372965	45	intron (uc009gkd.1, intron 1 of 28)	intron (NM_145633, intron 1 of 28)	1684	uc009gkd.1	Ankrd27	ankyrin repeat domain-containing protein 27	17.13	3.02	12.09	39.3	76.58	43.33	7.05	19.15	56-Per2_n3R16	0	burg	1	23.2093023256	29.0326223733	16.541784736	31.9083333333	0.7781659197	0.7288694574	0.7704689309	0.0011405838	3.18808629132E-005	0.0057572058
57	chr4	140173241	140173720	140173480	34	intron (uc008vmw.2, intron 1 of 27)	intron (NM_001112722, intron 1 of 27)	31191	uc008vmw.2	Arhgef10l	rho guanine nucleotide exchange factor 10-like	17.13	8.06	11.08	46.35	65.5	42.32	10.08	15.12	57-Per2_n3R16	1	burg	1	22.5536723164	25.5126407284	16.4644366234	31.74	0.8001607228	0.7557519945	0.6641409318	0.0007129578	0.000029855	0.0053913604
58	chr16	49896261	49896640	49896455	40	intron (uc007zkg.1, intron 6 of 9)	intron (NM_010581, intron 6 of 9)	40683	uc007zkg.1	Cd47	leukocyte surface antigen CD47	22.17	5.04	11.08	27.21	62.48	61.47	8.06	22.17	58-Per2_n3R16	1	burg	1	24.0481927711	26.4540659021	17.9715828455	31.575	0.8203557046	0.78043475	0.7176138549	0.0004414286	2.9775126187E-005	0.0053769413
59	chr16	4964221	4964840	4964420	45	promoter-TSS (uc007ybc.2)	promoter-TSS (NM_028301)	148	uc007ybf.1	AK154225	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930451G09 product:hypothetical protein, full insert sequence.	15.12	3.02	4.03	43.33	89.68	34.26	2.02	3.02	59-Per2_n3R16	0	burg	1	23.2093023256	34.3380999229	16.2878270355	31.5733333333	0.7050296246	0.6394806522	0.9472137263	0.0041115238	5.50018801358E-005	0.0099325148
60	chr2	165763861	165764470	165764185	41	Intergenic	MLT1H2|LTR|MaLR	-53972	uc008nyi.2	Ncoa3	nuclear receptor coactivator 3	23.18	7.05	8.06	33.25	64.49	53.41	5.04	16.12	60-Per2_n3R16	0	mle	1	23.4823529412	25.8982354602	17.6243237582	31.5733333333	0.8360438017	0.7996090909	0.682717035	0.0002926006	2.9775126187E-005	0.0053769413
61	chr7	25337391	25337910	25337625	52	intron (uc012ffm.1, intron 2 of 16)	intron (NM_009532, intron 2 of 16)	5638	uc012ffm.1	Xrcc1	DNA repair protein XRCC1	17.13	6.05	9.07	40.31	77.59	37.28	5.04	28.21	61-Per2_n3R16	0	burg	1	23.2093023256	28.5265997515	16.4063206736	31.2383333333	0.7396499589	0.6817943942	0.7832801884	0.0023442797	4.06046259917E-005	0.0073325866
62	chr3	100725851	100726330	100726175	43	promoter-TSS (uc008qqz.2)	promoter-TSS (NM_001165953)	-326	uc008qqz.2	Trim45	tripartite motif-containing protein 45 isoform	13.1	8.06	9.07	35.27	72.55	48.37	6.05	16.12	62-Per2_n3R16	0	mle	1	23.2093023256	27.1544216306	16.8814115229	31.07	0.7542422724	0.699629444	0.7632192485	0.0018083493	3.69181330664E-005	0.0066668613
