ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Cry2_CT0/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT4/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT8/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT12/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT16/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT20/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_KO/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry_Input/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
13	chr1	176837761	176838200	176837955	46	intron (uc007dtf.1, intron 1 of 1)	intron (NM_011825, intron 1 of 1)	13970	uc007dtf.1	Grem2	gremlin-2 precursor	23.78	7.04	25.54	42.27	68.68	30.82	5.28	28.18	13-Cry2_n3R17	0	burg	1	22.5536723164	22.7752925688	15.8126499719	33.0216666667	0.7347868708	0.6758506198	0.5770146921	0.0025478719	0.0022686613	0.0150373525
14	chr3	95685971	95686491	95686265	46	promoter-TSS (uc008qlm.1)	promoter-TSS (NM_001033302)	-80	uc008qlm.1	Gm129	hypothetical protein LOC229599	12.33	12.33	17.61	59.88	67.8	28.18	5.28	6.16	14-Cry2_n3R17	0	burg	1	22.1777777778	27.3764855095	15.1749959334	33.0216666667	0.765775188	0.7137252297	0.6825647087	0.001456626	0.0018216013	0.0120741074
15	chr7	28266481	28267230	28266665	34	Intergenic	Intergenic	-5117	uc009fwh.1	Sertad1	SERTA domain-containing protein 1	19.37	8.81	7.04	58.12	64.28	34.34	7.04	13.21	15-Cry2_n3R17	0	burg	1	22.9425287356	26.8979199539	15.8445146017	31.9933333333	0.7494753307	0.693803182	0.7047197163	0.0019716383	0.0020388471	0.0135140765
16	chr10	62486701	62487290	62486905	46	promoter-TSS (uc007fjq.2)	promoter-TSS (NM_001079824)	-265	uc007fjr.1	Pbld2	phenazine biosynthesis-like domain-containing	14.97	5.28	18.49	57.24	59.88	34.34	2.64	3.52	16-Cry2_n3R17	0	default	1	24	24.8962382148	14.8107332388	31.7	0.8111591141	0.7691944728	0.6574073709	0.000552627	0.0014645715	0.0097076098
17	chr1	90175671	90176101	90175915	28	Intergenic	Intergenic	-1732	uc007bym.2	Hjurp	Holliday junction recognition protein	27.3	21.13	46.67	29.06	26.42	38.74	17.61	92.46	17-Cry2_n3R17	1	default	1	24	2.7975576112	9.9444759278	31.5533333333	0.054766369	-0.155285549	0.2712326296	0.7761152973	0.1220656594	0.8090869928
18	chr7	35018961	35019460	35019240	48	promoter-TSS (uc009giy.1)	CpG	-186	uc009giy.1	AK087850	Mus musculus 2 days pregnant adult female ovary cDNA, RIKEN full-length enriched library, clone:E330029N23 product:unclassifiable, full insert sequence.	18.49	8.81	8.81	51.95	63.4	33.46	2.64	8.81	18-Cry2_n3R17	0	burg	1	21.9340659341	25.4578664069	16.2291872986	30.82	0.7555084655	0.7011770134	0.6800627008	0.0017667993	0.0019576427	0.0129758302
19	chr17	29182941	29183501	29183285	51	Intergenic	Intergenic	13616	uc008bsd.2	Srsf3	serine/arginine-rich splicing factor 3	11.45	5.28	8.81	54.6	73.09	30.82	3.52	7.04	19-Cry2_n3R17	0	mle	1	23.3450292398	30.0959132016	15.4355890788	30.675	0.7648248247	0.7125636747	0.8272958027	0.0014834115	0.001837681	0.0121806886
20	chr11	101240191	101240631	101240515	28	Intergenic	Intergenic	11367	uc007lor.1	G6pc	glucose-6-phosphatase	14.97	15.85	22.89	44.03	50.19	36.1	7.04	20.25	20-Cry2_n3R17	1	burg	1	23.6213017751	16.0889698855	15.0269892948	30.6716666667	0.8206757435	0.7808259087	0.44458222	0.0004379007	0.0014582596	0.0096657724
21	chr7	4102271	4102860	4102595	49	TTS (uc009exe.1)	TTS (NM_021454)	-1091	uc009exd.1	Leng9	leukocyte receptor cluster member 9	21.13	8.81	14.97	39.63	64.28	34.34	3.52	18.49	21-Cry2_n3R17	0	burg	1	22.8114285714	22.2329959681	16.364180693	30.5266666667	0.7737955492	0.7235278935	0.6038279161	0.001245246	0.001717313	0.0113828545
22	chr5	149806661	149807260	149806845	44	promoter-TSS (uc009aoz.1)	Intergenic	-169	uc009aoz.1	AK036974	Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930430L01 product:unclassifiable, full insert sequence.	15.85	8.81	15.85	44.91	57.24	33.46	5.28	12.33	22-Cry2_n3R17	0	mle	1	23.3450292398	21.042548995	15.5986313523	29.3533333333	0.8132000142	0.7716889062	0.5938680762	0.0005262544	0.0014645715	0.0097076098
23	chr14	69880951	69881331	69881190	37	intron (uc007ume.1, intron 1 of 3)	intron (NM_026331, intron 1 of 3)	22019	uc007ume.1	Slc25a37	mitoferrin-1	22.01	9.69	33.46	42.27	42.27	25.54	12.33	19.37	23-Cry2_n3R17	1	mle	1	23.0751445087	14.1624726207	14.033537782	29.2066666667	0.7865124006	0.7390707119	0.3967189564	0.0009597916	0.0015870208	0.0105192395
24	chr5	90989751	90990210	90989975	35	Intergenic	Intergenic	42005	uc008ybc.1	Afm	afamin precursor	25.54	13.21	14.97	39.63	50.19	31.7	7.04	35.22	24-Cry2_n3R17	0	burg	1	22.3016759777	16.2331178258	16.6045997935	29.2066666667	0.7859227992	0.7383500879	0.4479879812	0.0009717776	0.0015920864	0.0105528157
25	chr2	119180831	119181280	119181015	50	TTS (uc008lts.2)	TTS (NM_026929)	4077	uc008lts.2	Chac1	cation transport regulator-like protein 1	12.33	7.93	11.45	44.03	67.8	29.94	0.88	13.21	25-Cry2_n3R17	0	burg	1	23.0751445087	25.305296271	15.7193358762	28.9133333333	0.7508246238	0.695452318	0.7420604507	0.0019243012	0.0020172489	0.0133709176
26	chr19	23564211	23564770	23564435	42	Intergenic	Zaphod|DNA|Tip100	-41678	uc008hac.1	Mamdc2	MAM domain-containing protein 2 precursor	15.85	9.69	13.21	37.86	51.95	44.91	4.4	18.49	26-Cry2_n3R17	0	burg	1	23.2093023256	19.3839234614	16.7267342457	28.9116666667	0.8062208544	0.763158822	0.5741706811	0.0006206999	0.0014876685	0.0098607032
27	chr1	90173911	90174460	90174205	27	promoter-TSS (uc007bym.2)	promoter-TSS (NM_198652)	-31	uc007bym.2	Hjurp	Holliday junction recognition protein	25.54	17.61	33.46	41.39	24.66	27.3	20.25	39.63	27-Cry2_n3R17	0	burg	1	24.1939393939	7.2032010579	11.7926028359	28.3266666667	0.470379118	0.3526855887	0.2634361777	0.0572588935	0.0160809827	0.1065894702
28	chr11	98644651	98645060	98644805	36	Intergenic	Intergenic	-8299	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	11.45	14.97	17.61	43.15	46.67	36.1	2.64	6.16	28-Cry2_n3R17	0	default	1	24	15.9822270853	15.0797286356	28.325	0.7766057676	0.7269626048	0.4981779035	0.0011771283	0.0016748598	0.0111014619
29	chr16	95903991	95904540	95904265	29	Intergenic	Intergenic	-19749	uc008ace.2	Ets2	protein C-ets-2	21.13	13.21	24.66	35.22	40.51	31.7	2.64	17.61	29-Cry2_n3R17	0	mle	1	22.8114285714	11.1265236207	15.6460758837	27.7383333333	0.8268388871	0.7883586397	0.3287730032	0.0003741336	0.001452221	0.0096257468
30	chr10	126792381	126792980	126792555	40	TTS (uc007hjj.2)	TTS (NM_010565)	-3852	uc011xps.1	Inhbe	inhibin beta E chain precursor	16.73	11.45	13.21	35.22	57.24	31.7	7.93	27.3	30-Cry2_n3R17	0	burg	1	23.2093023256	18.7234126782	16.2218770551	27.5916666667	0.7498460203	0.694256247	0.5805370625	0.0019585442	0.0020318616	0.0134677745
31	chr8	129137931	129138440	129138185	32	Intergenic	Intergenic	-20849	uc009nyw.2	Irf2bp2	interferon regulatory factor 2 binding protein	20.25	10.57	19.37	36.1	45.79	33.46	16.73	46.67	31-Cry2_n3R17	0	mle	1	23.0751445087	14.5582388862	16.1097730247	27.59	0.8371917642	0.8010121562	0.4312094334	0.0002834939	0.0013804098	0.0091497613
32	chr13	44401581	44402200	44401760	33	Intergenic	Intergenic	-90034	uc007qgo.1	AK136877	Mus musculus adult male spinal cord cDNA, RIKEN full-length enriched library, clone:A330050A06 product:unclassifiable, full insert sequence.	14.97	10.57	27.3	54.6	37.86	18.49	7.04	11.45	32-Cry2_n3R17	0	burg	1	21.9340659341	18.8854134173	13.8234617951	27.2983333333	0.8089124418	0.76644854	0.5527997899	0.0005828353	0.001484485	0.0098396021
33	chr11	60350821	60351390	60351135	50	promoter-TSS (uc007jgd.2)	promoter-TSS (NM_172943)	-80	uc007jgd.2	Alkbh5	probable alpha-ketoglutarate-dependent	19.37	7.04	13.21	29.94	55.48	31.7	7.93	22.89	33-Cry2_n3R17	0	burg	1	22.9425287356	18.7431103161	16.7213045655	26.1233333333	0.7650328228	0.7128178945	0.6020256245	0.0014775167	0.0018348855	0.0121621595
34	chr5	53587501	53588210	53587945	26	intron (uc008xlc.1, intron 2 of 23)	intron (NM_172710, intron 2 of 23)	16836	uc008xlc.1	Sel1l3	protein sel-1 homolog 3	16.73	2.64	22.89	32.58	53.71	28.18	6.16	22.01	34-Cry2_n3R17	0	mle	1	23.0751445087	18.3339053476	15.6438471776	26.1216666667	0.7493354377	0.6936322016	0.5965790174	0.0019765974	0.0020412076	0.0135297225
35	chr5	122765001	122765670	122765160	36	intron (uc008zky.1, intron 3 of 5)	intron (NM_177242, intron 3 of 5)	30928	uc008zky.1	Pptc7	protein phosphatase PTC7 homolog	7.93	7.04	19.37	44.91	53.71	22.89	4.4	12.33	35-Cry2_n3R17	1	burg	1	23.0751445087	21.7388433635	14.6083666803	25.975	0.8274372372	0.7890899566	0.678759127	0.000368351	0.0014480368	0.0095980126
36	chr8	73063091	73063550	73063410	47	promoter-TSS (uc009mau.1)	promoter-TSS (NM_007924)	-254	uc009mau.1	Ell	RNA polymerase II elongation factor ELL	13.21	2.64	14.09	47.55	55.48	19.37	5.28	10.57	36-Cry2_n3R17	0	burg	1	22.4269662921	23.9810574101	15.2072828119	25.39	0.7924045523	0.7462722306	0.7586742959	0.000846214	0.0015366799	0.010185565
37	chr2	29478811	29479130	29478985	32	intron (uc008izu.1, intron 1 of 25)	intron (NM_054050, intron 1 of 23)	3730	uc008izu.1	Rapgef1	Rap guanine nucleotide exchange factor (GEF) 1	12.33	12.33	27.3	28.18	37.86	32.58	6.16	21.13	37-Cry2_n3R17	1	burg	1	26.2631578947	9.7939602235	14.0966573139	25.0966666667	0.6882983515	0.6190313185	0.384686989	0.005270186	0.0033271965	0.0220536345
38	chr1	74443551	74443941	74443725	33	3' UTR (uc007blz.2, exon 7 of 7)	3' UTR (NM_153088, exon 7 of 7)	2862	uc007bma.2	Mir26b	Mus musculus microRNA 26b (Mir26b), microRNA.	14.09	7.93	10.57	45.79	43.15	28.18	6.16	14.09	38-Cry2_n3R17	0	burg	1	23.3450292398	17.9660628942	15.3333732835	24.9516666667	0.7613819461	0.7083557119	0.6100873515	0.0015836706	0.0018743774	0.012423923
39	chr16	92611831	92612360	92612075	28	intron (uc007zzj.2, intron 7 of 7)	intron (NM_001111022, intron 6 of 6)	113703	uc007zzg.1	Clic6	chloride intracellular channel protein 6	14.97	9.69	16.73	39.63	43.15	25.54	5.28	17.61	39-Cry2_n3R17	0	mle	1	24.0481927711	14.9531399493	14.7958314238	24.9516666667	0.8014105252	0.7572795309	0.5035341114	0.0006931114	0.001510364	0.0100111355
40	chr1	94926121	94926620	94926325	22	intron (uc007cdf.2, intron 36 of 47)	AT_rich|Low_complexity|Low_complexity	23459	uc007cdc.2	Aqp12	aquaporin-12 isoform 1	24.66	11.45	16.73	23.78	37.86	35.22	10.57	22.89	40-Cry2_n3R17	1	default	1	24	11.2770723993	17.981682451	24.95	0.8370665626	0.800859132	0.3743482683	0.0002844762	0.0013804098	0.0091497613
41	chr11	120121151	120121590	120121335	46	intron (uc011yiy.1, intron 3 of 27)	intron (NM_198423, intron 3 of 27)	27109	uc011yiy.1	Bahcc1	BAH and coiled-coil domain-containing protein 1	9.69	4.4	2.64	59.88	53.71	18.49	0	1.76	41-Cry2_n3R17	0	burg	1	22.8114285714	27.2398184256	15.0140254694	24.8016666667	0.7036563624	0.6378022207	0.9372018847	0.0041983654	0.0029404531	0.0194901858
42	chr9	66027621	66028230	66027885	31	intron (uc009qen.2, intron 2 of 11)	intron (NM_010019, intron 2 of 11)	21892	uc009qen.2	Dapk2	death-associated protein kinase 2	18.49	7.93	17.61	30.82	50.19	22.01	7.93	16.73	42-Cry2_n3R17	0	burg	1	22.6818181818	15.7397869678	15.8577077744	24.5083333333	0.7146596875	0.6512507292	0.5434224604	0.0035410666	0.0026992086	0.0178911461
43	chr11	83375951	83376390	83376195	39	Intergenic	Intergenic	15968	uc007kpj.1	Ccl9	C-C motif chemokine 9	9.69	11.45	17.61	22.01	47.55	37.86	8.81	29.94	43-Cry2_n3R17	0	burg	1	25.5897435897	13.7772392633	16.247849617	24.3616666667	0.6544489071	0.5776597753	0.5690229562	0.008381181	0.004411116	0.0292381705
44	chr13	53070001	53070560	53070245	25	intron (uc007qni.1, intron 1 of 1)	intron (NM_017373, intron 1 of 1)	6128	uc007qni.1	Nfil3	nuclear factor interleukin-3-regulated protein	19.37	15.85	22.01	32.58	29.06	26.42	13.21	30.82	44-Cry2_n3R17	1	burg	1	22.8114285714	6.8279204205	14.9385430488	24.215	0.782830563	0.7345706881	0.2364025441	0.0010365594	0.0016037038	0.010629819
45	chr1	75313981	75314620	75314365	45	promoter-TSS (uc011wnp.1)	promoter-TSS (NM_016878)	-88	uc011wnp.1	Dnpep	aspartyl aminopeptidase isoform a	14.97	1.76	5.28	31.7	71.33	20.25	3.52	9.69	45-Cry2_n3R17	0	burg	1	22.9425287356	26.2254773935	16.2383473973	24.215	0.652354881	0.5751004101	0.9596195025	0.0086121704	0.0044817356	0.0297062581
46	chr3	94175521	94176170	94175665	19	promoter-TSS (uc008qfy.2)	promoter-TSS (NM_011281)	-903	uc008qfy.2	Rorc	nuclear receptor ROR-gamma	12.33	20.25	19.37	33.46	34.34	25.54	6.16	13.21	46-Cry2_n3R17	1	mle	1	24.1939393939	8.6690665866	13.9266632088	24.215	0.712836618	0.6490225331	0.3243785262	0.0036440201	0.0027407048	0.018166195
47	chr3	79371701	79372101	79371895	29	promoter-TSS (uc012cqp.1)	promoter-TSS (NM_001162999)	-300	uc012cqp.1	Fnip2	folliculin-interacting protein 2	11.45	4.4	7.93	51.95	42.27	25.54	2.64	2.64	47-Cry2_n3R17	0	burg	1	23.3450292398	20.7894300507	14.9837930573	23.9233333333	0.7273920851	0.6668125484	0.7472068175	0.0028835207	0.002411198	0.0159821277
48	chr5	147499381	147500011	147499715	34	Intergenic	Intergenic	-102881	uc009ani.1	Gpr12	G-protein coupled receptor 12	12.33	1.76	13.21	36.1	51.95	27.3	3.52	22.01	48-Cry2_n3R17	0	mle	1	23.3450292398	20.2936848042	15.6687383825	23.775	0.8140370528	0.7727119534	0.7049513157	0.0005157258	0.0014645715	0.0097076098
49	chr5	93015021	93015430	93015135	30	intron (uc008ydn.2, intron 5 of 6)	intron (NM_001170572, intron 5 of 5)	14662	uc008ydn.2	Fam47e	hypothetical protein LOC384198 isoform 1	20.25	12.33	18.49	22.89	39.63	29.06	4.4	11.45	49-Cry2_n3R17	0	burg	1	23.6213017751	9.8759080766	16.9721050002	23.775	0.7336372604	0.6744455405	0.364841335	0.002597949	0.0022958276	0.0152174188
50	chr16	23337341	23337830	23337615	46	intron (uc007yto.1, intron 5 of 7)	intron (NM_145933, intron 5 of 7)	-91621	uc007ytq.1	Rtp1	receptor-transporting protein 1	19.37	8.81	11.45	22.01	55.48	24.66	7.04	19.37	50-Cry2_n3R17	0	burg	1	23.2093023256	16.648892531	16.8973972066	23.63	0.618864571	0.534167809	0.647412908	0.0130273759	0.0058495427	0.038772485
51	chr6	49992041	49992560	49992260	22	Intergenic	MTD|LTR|MaLR	-67940	uc009bwv.2	Mpp6	MAGUK p55 subfamily member 6 isoform a	18.49	8.81	35.22	18.49	27.3	33.46	11.45	34.34	51-Cry2_n3R17	0	mle	1	26.4370860927	4.6741323923	15.1493343278	23.6283333333	0.1518637794	-0.0366109363	0.3928199126	0.4765354873	0.081963218	0.5432762491
52	chr3	78887001	78887271	78887155	38	exon (uc008pnm.1, exon 16 of 24)	exon (NM_001099624, exon 16 of 24)	62661	uc008pnm.1	Rapgef2	rap guanine nucleotide exchange factor 2	19.37	11.45	20.25	29.94	37.86	22.89	4.4	14.09	52-Cry2_n3R17	0	burg	1	22.1777777778	10.3620828433	15.733486146	23.6266666667	0.7835522625	0.7354527653	0.3544458917	0.0010211481	0.0016037038	0.010629819
53	chr7	56607111	56607661	56607360	20	intron (uc009hbm.2, intron 1 of 37)	intron (NM_175272, intron 1 of 37)	105827	uc009hbm.2	Nav2	neuron navigator 2 isoform 1	12.33	14.09	27.3	25.54	30.82	30.82	9.69	18.49	53-Cry2_n3R17	1	burg	1	27.5310344828	7.0765225239	13.449402977	23.4833333333	0.5966369193	0.5070006791	0.320122964	0.0168125138	0.0068676441	0.0455207591
54	chr11	87236431	87236970	87236585	23	Intergenic	intron (NM_031386, intron 1 of 30)	-4393	uc011yby.1	Tex14	testis-expressed protein 14 isoform a	29.06	19.37	38.74	15.85	15.85	22.01	11.45	29.94	54-Cry2_n3R17	1	default	1	24	5.3007998404	4.7367810092	23.48	0.2200991978	0.0467879084	0.3475198958	0.3267210768	0.0605664762	0.4014523683
55	chr3	100725781	100726340	100726155	31	promoter-TSS (uc008qqz.2)	promoter-TSS (NM_001165953)	-356	uc008qqz.2	Trim45	tripartite motif-containing protein 45 isoform	10.57	2.64	15.85	31.7	46.67	31.7	3.52	7.93	55-Cry2_n3R17	1	burg	1	23.4823529412	17.6190466941	15.8140704953	23.1883333333	0.8199188924	0.7799008684	0.6424518816	0.0004462792	0.0014582596	0.0096657724
56	chr5	125501651	125502150	125501935	24	intron (uc008zqy.1, intron 46 of 48)	intron (NM_011424, intron 46 of 48)	18055	uc008zqt.1	Fam101a	hypothetical protein LOC73121	15.85	9.69	17.61	33.46	40.51	22.01	5.28	16.73	56-Cry2_n3R17	0	burg	1	22.3016759777	13.2193101861	15.4673052213	23.1883333333	0.8078815687	0.7651885839	0.4571093691	0.0005971187	0.0014876685	0.0098607032
57	chr8	11021101	11021750	11021375	44	intron (uc009kva.1, intron 1 of 4)	Intergenic	-12995	uc009kuz.1	Irs2	insulin receptor substrate 2	18.49	9.69	10.57	21.13	51.95	26.42	3.52	12.33	57-Cry2_n3R17	0	burg	1	23.3450292398	15.622429325	17.0907431667	23.0416666667	0.6489523382	0.5709417467	0.6151140236	0.0089980288	0.0046179371	0.0306090416
58	chr7	29762611	29763000	29762785	37	intron (uc009gai.1, intron 3 of 7)	intron (NM_028659, intron 3 of 7)	4028	uc009gai.1	Eif3k	eukaryotic translation initiation factor 3	10.57	6.16	4.4	37.86	52.83	26.42	4.4	5.28	58-Cry2_n3R17	0	burg	1	22.3016759777	21.330839974	16.2298891784	23.04	0.7501926202	0.6946798691	0.7736549299	0.0019463623	0.0020292184	0.013450255
59	chr16	49896281	49896720	49896455	30	exon (uc007zkg.1, exon 7 of 10)	exon (NM_010581, exon 7 of 10)	40733	uc007zkg.1	Cd47	leukocyte surface antigen CD47	20.25	7.04	11.45	32.58	36.1	30.82	11.45	17.61	59-Cry2_n3R17	0	default	1	24	12.8773889056	16.6053479357	23.04	0.790402444	0.7438252093	0.4755248556	0.0008835639	0.0015526289	0.01029128
60	chr8	123062601	123063130	123062830	30	intron (uc009nqz.2, intron 1 of 15)	(TG)n|Simple_repeat|Simple_repeat	50099	uc009nqz.2	Gse1	genetic suppressor element 1 isoform 1	13.21	7.93	7.93	41.39	44.91	21.13	7.04	2.64	60-Cry2_n3R17	0	burg	1	22.1777777778	18.2847031631	15.6970544727	22.75	0.7425420324	0.6853291507	0.6645498737	0.0022293513	0.0021305631	0.014121997
61	chr3	108204641	108204980	108204860	36	intron (uc008qyx.1, intron 9 of 33)	intron (NM_017392, intron 9 of 33)	13602	uc008qyx.1	Celsr2	cadherin EGF LAG seven-pass G-type receptor 2	10.57	4.4	5.28	39.63	41.39	35.22	1.76	1.76	61-Cry2_n3R17	0	burg	1	23.3450292398	18.7770664296	16.2134947602	22.7483333333	0.7716478025	0.7209028697	0.7129357638	0.0012993417	0.0017554172	0.0116354203
62	chr2	165763891	165764330	165764195	34	Intergenic	Intergenic	-53922	uc008nyc.1	Zmynd8	protein kinase C-binding protein 1	13.21	7.04	12.33	33.46	46.67	22.89	8.81	19.37	62-Cry2_n3R17	0	burg	1	22.6818181818	16.7358960217	15.7778670296	22.6	0.7833027516	0.7351478075	0.6080777333	0.0010264559	0.0016037038	0.010629819
63	chr8	126789701	126790150	126789965	36	intron (uc009nwz.1, intron 1 of 15)	intron (NM_139272, intron 1 of 15)	34631	uc009nwz.1	Galnt2	polypeptide N-acetylgalactosaminyltransferase 2	8.81	7.04	8.81	49.31	32.58	28.18	3.52	9.69	63-Cry2_n3R17	0	burg	1	23.9041916168	16.7102238373	14.6046860658	22.455	0.6389473314	0.558713405	0.6962238184	0.0102109821	0.0050046921	0.0331725673
